riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Redmond Gerard, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, United States, , , , 
Liam Stevens, 85, 308.7, , 23, CAN, , , , , , , , Canada, , , , 
Sam Koven, 86, 304.01, , 19, CAN, , , , , , , , Canada, , , , 
Mikhail Matveev, 87, 300.9, , 24, RUS, Goofy, , , , , https://www.facebook.com/misha.matveev.940, , Russian Federation, , , , 
Leon Gütl, 88, 300.0, , 19, GER, , , , , , , , Germany, , , , 
Stef Vandeweyer, 89, 299.3, Dakine | TSG | 686 | , 21, BEL, Goofy, , Meerhout, , , , , Belgium, , , , 
Min-Sik Lee, 90, 296.68, Burton Snowboards | , 20, KOR, Regular, 168cm, Kyounggi-Do, , , , , Korea, Republic of, , , , 
Michael Schärer, 91, 296.61,  | , 23, SUI, Regular, 185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , Switzerland, , , , 
Kristian Skjomming, 92, 295.96, , , NOR, , , , , , , , Norway, , , , 
Will Healy, 93, 292.22, Burton Snowboards | Giro | , 18, USA, Regular, , , , , , , United States, , , , 
Mateo Massitti, 94, 291.78, , 19, CAN, Goofy, , , , , , , Canada, , , , 
Jakub Hrones, 95, 290.97, , , CZE, , , , , , , , Czech Republic, , , , 
Samuel Jaros, 96, 289.28, , , SVK, , , , , , , , Slovakia, , , , 
Magnus Groterud, 97, 288.04, , , NOR, , , , , , , , Norway, , , , 
Joewen Frijns, 98, 287.32, , , BEL, , , , , , , , Belgium, , , , 
Gabriel Adams, 99, 285.49, Endeavor | , 17, GBR, Goofy, , , , , , , United Kingdom, , , , 
Shuzaburo Otsubo, 100, 283.11, , 16, JPN, , , , , , , , Japan, , , , 
Marino Kristjansson, 101, 281.04, , 19, ISL, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , Iceland, , , , 
Kolman Lecroy, 102, 280.71, , , USA, , , , , , , , United States, , , , 
Grey Katko, 103, 280.32, , , USA, , , , , , , , United States, , , , 
Valtteri Kautonen, 104, 279.3, , , FIN, , , , , , , , Finland, , , , 
Sebastian Vik, 105, 267.4, , , NOR, , , , , , , , Norway, , , , 
Jules De Sloover, 106, 267.3, , , BEL, , , , , , , , Belgium, , , , 
Tj Fitzgerald, 107, 267.18, , 19, USA, Regular, , Stratton, Stratton VT, , , , United States, , , , 
Hiroto Ogiwara, 108, 267.04, , , JPN, , , , , , , , Japan, , , , 
Keita Inamura, 109, 266.67, , 23, JPN, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , Japan, , , , 
Aleksi Nevakivi, 110, 265.13,  | , 21, FIN, Goofy, , , , , , , Finland, , , , 
Markus Olimastad, 111, 262.52, , 26, NOR, Goofy, , Aamli, , , , , Norway, , , , 
Titouan Bartet, 112, 261.89,  | , 20, FRA, Regular, , Laval, , , , , France, , , , 
Tyson Lewis, 113, 260.63, , 14, CAN, , , , , , , , Canada, , , , 
Louis Ethier, 114, 259.96, , , CAN, , , , , , , , Canada, , , , 
Kai Groenewald, 115, 259.13, , 16, NED, Regular, , , , , , , NED, , , , 
Odin Rohrt, 116, 258.41, , 15, NOR, Goofy, , , , , , , Norway, , , , 
Yuuri Ookubo, 117, 255.17, , 20, JPN, , , Sappro-Shi?hokkaido, , , , , Japan, , , , 
Lane Weaver, 118, 252.7, , 17, CAN, , , , , , , , Canada, , , , 
Liam Johnson, 119, 251.65, , , USA, , , , , , , , United States, , , , 
Davide Boggio, 120, 251.13, , 21, ITA, , , , , , , , Italy, , , , 
Patrick Hofmann, 121, 250.78,  | , 19, SUI, Goofy, , , , patrick.notizia.ch/, , , Switzerland, , , , 
Jake Denham, 122, 248.72, , , USA, , , , , , , , United States, , , , 
Jonas Junker, 123, 248.13, , 20, SUI, Goofy, , , , , , , Switzerland, , , , 
Benni Fridbjornsson, 124, 247.67, Red Bull | Union Bindings | , 16, ISL, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, Iceland, , , , 
Rikuto Oohashi, 125, 246.27, , 18, JPN, Goofy, , Sapporo, , , , , Japan, , , , 
Anders Traasdahl Fornes, 126, 245.71, , , NOR, , , , , , , , Norway, , , , 
Yiming Su, 127, 243.02, , , CHN, , , , , , , , China, , , , 
Kensho Yamase, 128, 242.95, , , JPN, , , , , , , , Japan, , , , 
Lukas Frischhut, 129, 241.01, , , AUT, , , , , , , , Austria, , , , 
Ryo Aizawa, 130, 240.74, , , JPN, , , , , , , , Japan, , , , 
Alvaro Yanez, 131, 239.17, , 18, CHI, , , , , , , , CHI, , , , 
Embrik Kirkevoll, 132, 238.92, , , NOR, , , , , , , , Norway, , , , 
Sam Vermaat, 133, 238.87, , , NED, , , , , , , , NED, , , , 
Joonas Bergman, 134, 238.83, , 20, FIN, , , , , , , , Finland, , , , 
Sébastien Konijnenberg, 135, 237.4, Rip Curl | Salomon | , 23, FRA, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , France, , , , 
Parker Giblin, 136, 236.94, , , USA, , , , , , , , United States, , , , 
Naj Meving, 137, 236.93, , , SLO, , , , , , , , SLO, , , , 
Nicholas Miller, 138, 236.89, , , USA, , , , , , , , United States, , , , 
David Luckerbauer, 139, 236.84, , 20, AUT, Goofy, , , , , , , Austria, , , , 
Ilias Van Hoof, 140, 236.59, , 21, BEL, , , Kontich, , , , , Belgium, , , , 
Billy Cockrell, 141, 235.28, , 21, GBR, , , Sheffield, , , , , United Kingdom, , , , 
Sebbe De Buck, 142, 234.73, DC | Giro | Monster Energy | Union Bindings | , 25, BEL, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , Belgium, , , , 
Hayato Nagasawa, 143, 232.05, Fanatic | , 18, JPN, Regular, , , , , , , Japan, , , , 
Wendelin Gauger, 144, 231.94, , 20, SUI, Regular, 187, Schwyz, Mythepark, , , , Switzerland, , , , 
Enzo Valax, 145, 231.26, , 19, FRA, , , , , , , , France, , , , 
Senan Ogasawara, 146, 228.68, , , JPN, , , , , , , , Japan, , , , 
Hinata Tsuji, 147, 227.8, , , JPN, , , , , , , , Japan, , , , 
Samuel Mather, 148, 227.3, , , CAN, , , , , , , , Canada, , , , 
Eli McDermott, 149, 226.97, , , USA, , , , , , , , United States, , , , 
Max Williams, 150, 226.42, , , USA, , , , , , , , United States, , , , 
Dashiell Klebe-Mcculloch, 151, 224.69, , , CAN, , , , , , , , Canada, , , , 
Chaeun Lee, 152, 224.56, , , KOR, , , , , , , , Korea, Republic of, , , , 
Ryouji Fujiya, 153, 222.39, , , JPN, , , , , , , , Japan, , , , 
Ethan Smith, 154, 221.54, Never Summer | , 17, GBR, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, United Kingdom, , , , 
Tyler Nicholson, 155, 221.54, Lib Technologies | Rockstar | Under Armour | , 25, CAN, Regular, , North Bay, , , , , Canada, , , , 
Moritz Boll, 156, 221.13,  | , 20, SUI, , , , , , , , Switzerland, , , , 
Ben Machtans, 157, 220.9, , , CAN, , , , , , , , Canada, , , , 
Fynn Koenen, 158, 219.77, , , GER, , , , , , , , Germany, , , , 
Emppu V?is?nen, 159, 217.88, , , FIN, , , , , , , , Finland, , , , 
Jan Rovensky, 160, 217.5, , , CZE, , , , , , , , Czech Republic, , , , 
Yaroslav Lenchevskiy, 161, 216.08, , , RUS, , , , , , , , Russian Federation, , , , 
Carter Wega, 162, 215.36, , , CAN, , , , , , , , Canada, , , , 
Alex Atno, 163, 214.6, , , USA, , , , , , , , United States, , , , 
Jaxson Moon, 164, 214.16, , , USA, , , , , , , , United States, , , , 
Noé Larochaix, 165, 213.69, , , FRA, Regular, , , , , , , France, , , , 
Moritz Breu, 166, 213.54, , 17, GER, Goofy, , , , , , , Germany, , , , 
Moritz Kaufmann, 167, 213.31, , 20, AUT, , , , , , , , Austria, , , , 
Lucas Ferry, 168, 212.97, , , USA, , , , , , , , United States, , , , 
Alex Lotorto, 169, 211.44, , , SUI, , , , , , , , Switzerland, , , , 
Evan Riddell, 170, 211.2, , 16, CAN, , , , , , , , Canada, , , , 
Matija Milenkovich, 171, 211.04, , 19, SRB, , , , , , , , Serbia, , , , 
Caleb Chomlack, 172, 211.01, , 16, CAN, , , , , , , , Canada, , , , 
Sergii Sanzhapov, 173, 210.48, , 15, UKR, Regular, , Kiev, , , , , Ukraine, , , , 
Sean Miskiman, 174, 210.05, , 20, CAN, Regular, , Calgary, , , , , Canada, , , , 
Conner Christensson, 175, 208.85, , 18, CAN, , , , , , , , Canada, , , , 
Tyler Vallieres, 176, 208.6, , , USA, , , , , , , , United States, , , , 
Nick Puenter, 177, 208.59, Head | TSG | Zimtstern | , 18, SUI, Goofy, , Staefa, , , , , Switzerland, , , , 
Gustaf Lundström, 178, 208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , Sweden, , , , 
Till Strohmeyer, 179, 203.74, , 18, AUT, , , Kiefersfelden, , , , , Austria, , , , 
Tosh Krauskopf, 180, 203.33, , 15, CAN, , , , , , , , Canada, , , , 
Alexandr Smelov, 181, 203.11,  | , 24, RUS, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , Russian Federation, , , , 
Sacha Moretti, 182, 203.04, igwis | Quiksilver | Waxx | , 22, FRA, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , France, , , , 
Sander Mork Danielsen, 183, 202.75, , , NOR, , , , , , , , Norway, , , , 
Jose Antonio Aragon, 184, 202.39, , , ESP, , , , , , , , Spain, , , , 
Wyatt Blake, 185, 202.01, , , USA, , , , , , , , United States, , , , 
Yamato Kudo, 186, 200.95, , , JPN, , , , , , , , Japan, , , , 
Adrian Tongko, 187, 200.07, Salomon | , 23, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , PHI, , , , 
Yuto Miyamura, 188, 199.89, , , JPN, , , , , , , , Japan, , , , 
Elia Manuel Fuser, 189, 199.64, , , ITA, , , , , , , , Italy, , , , 
Sami Kallo, 190, 199.23, , , FIN, , , , , , , , Finland, , , , 
Augustinho Teixeira, 191, 198.57, , , BRA, , , , , , , , Brazil, , , , 
Shusei Kaku, 192, 198.25, , , JPN, , , , , , , , Japan, , , , 
Nathan Gray, 193, 196.45, , 19, FRA, , , St Martin De Belleville, , , , , France, , , , 
Alberto Maffei, 194, 195.8,  | , 25, ITA, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , Italy, , , , 
Atsuhiro Suzuki, 195, 195.47, , , JPN, , , , , , , , Japan, , , , 
Jeremy Denda, 196, 194.94, , , SUI, , , , , , , , Switzerland, , , , 
Karis Stang, 197, 193.36, , , USA, , , , , , , , United States, , , , 
Dante Brcic, 198, 192.27, , , CRO, , , , , , , , CRO, , , , 
Axel Thelen, 199, 191.99, Voelkl | , 22, FIN, Regular, , Helsinki, , , , , Finland, , , , 
Ryan Vo, 200, 190.19, , , CAN, , , , , , , , Canada, , , , 
Gabriel Almqvist, 201, 189.93, , , SWE, , , , , , , , Sweden, , , , 
Jaden Freitas, 202, 189.34, , 16, USA, , , Bend, , , , , United States, , , , 
Leopold Frey, 203, 188.83, , , GER, , , , , , , , Germany, , , , 
Philip Schwan, 204, 188.37, Rossignol | Vans | , 20, GER, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , Germany, , , , 
Matias Schmitt, 205, 187.09, , , ARG, , , , , , , , Argentina, , , , 
Lucas Briggs, 206, 183.54, , , CAN, , , , , , , , Canada, , , , 
Inaqui Irarrazabal, 207, 183.53, , 28, CHI, , , , , , , , CHI, , , , 
Emil Zulian, 208, 182.05, Burton Snowboards | , 23, ITA, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , Italy, , , , 
Kalin Fairgrieve-Park, 209, 181.55, , 20, CAN, , , , , , , , Canada, , , , 
Cole Valles, 210, 181.1, , , USA, , , , , , , , United States, , , , 
Roni Karhila, 211, 180.3, , , FIN, , , , , , , , Finland, , , , 
Motiejus Morauskas, 212, 179.64, , , LTU, , , , , , , , Lithuania, , , , 
Lenny Oliver, 213, 179.26, , , FRA, , , , , , , , France, , , , 
Ryder Petrick, 214, 178.83, , 19, CAN, , , , , , , , Canada, , , , 
Hayden Tyler, 215, 178.77, , , USA, , , , , , , , United States, , , , 
Glen Ironside, 216, 178.76,  | , 21, GBR, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , United Kingdom, , , , 
Julien Merken, 217, 177.83, , , FRA, , , , , , , , France, , , , 
Nicola Liviero, 218, 176.8,  | , 21, ITA, Regular, , , , , , , Italy, , , , 
Leon Framarin, 219, 175.45, , , ITA, , , , , , , , Italy, , , , 
Dylan Van Hoeij, 220, 173.75,  | , 16, BEL, Regular, , Lommel, , , , , Belgium, , , , 
Federico Chiaradio, 221, 173.69, , , ARG, , , , , , , , Argentina, , , , 
Egill Gunnar Kristjansson, 222, 171.23, , , ISL, , , , , , , , Iceland, , , , 
Dongheon Lee, 223, 171.09, , , KOR, , , , , , , , Korea, Republic of, , , , 
Kamil Knop, 224, 170.34, , , POL, , , , , , , , Poland, , , , 
Jesper Landmark, 225, 170.29, Dragon | Gnu | Union Bindings |  | , 21, SWE, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , Sweden, , , , 
Lenny Fenning, 226, 170.2, , , GBR, , , , , , , , United Kingdom, , , , 
Alois Durand, 227, 170.16, , 16, GER, , , , , , , , Germany, , , , 
Laurent Ethier, 228, 169.72, , , CAN, , , , , , , , Canada, , , , 
Felix Widning, 229, 169.14, Bataleon | , 29, AUT, Regular, 180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , Austria, , , , 
Jakob Tessand, 230, 168.8, , , NOR, , , , , , , , Norway, , , , 
Anders Johannes Brune Olsen, 231, 168.48, , , NOR, , , , , , , , Norway, , , , 
Keyser Murphy, 232, 168.22, , , USA, , , , , , , , United States, , , , 
Miruki Morii, 233, 167.99, , , JPN, , , , , , , , Japan, , , , 
Ladislav Hrstka, 234, 167.91, , 18, CZE, , , , , , , , Czech Republic, , , , 
Kazuki Saijo, 235, 167.11, , , JPN, , , , , , , , Japan, , , , 
Lovelock Zephyr, 236, 166.83, , , NZL, , , , , , , , New Zealand, , , , 
Dawson Fantuz, 237, 166.47, , , CAN, , , , , , , , Canada, , , , 
Yusei Kaku, 238, 166.28, , , JPN, , , , , , , , Japan, , , , 
Logan Lauffer, 239, 166.22, , 18, USA, Goofy, , Rifle, , , , , United States, , , , 
Haruhi Tsuji, 240, 162.53, , , JPN, , , , , , , , Japan, , , , 
Pavel Anishchanka, 241, 161.47, , , BLR, , , , , , , , Belarus, , , , 
Brian Rice Ii, 242, 160.66, , , USA, , , , , , , , United States, , , , 
Piotrek Tokarczyk, 243, 159.78, , 29, POL, Regular, 161, Nowy Targ, tatry, snownt.pl.tl, , , Poland, , , , 
Brendan Keuling, 244, 159.6, , 18, CAN, , , , , , , , Canada, , , , 
Carson Klundt, 245, 159.38, , , USA, , , , , , , , United States, , , , 
Ukyo Negishi, 246, 159.37, , , JPN, , , , , , , , Japan, , , , 
Samuel Finnemore, 247, 158.11, , , NZL, , , , , , , , New Zealand, , , , 
Petr Ershov, 248, 157.04, , , RUS, , , , , , , , Russian Federation, , , , 
Kian Christopher Hauschildt, 249, 156.68, , , BRA, , , , , , , , Brazil, , , , 
Mitja Kauranen, 250, 156.47, , , FIN, , , , , , , , Finland, , , , 
Alec Little, 251, 156.21, , , USA, , , , , , , , United States, , , , 
Jascha Nunez, 252, 156.05, , , AUT, , , , , , , , Austria, , , , 
