riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Karoliina Vuorivirta,  47,  313.03, , , FIN, , , , , , , , Finland, , , , 
Miyabi Onitsuka,  48,  311.79, Anon Optics | Burton Snowboards | Red Bull | , 22, JPN, Regular, -, Kumamoto-City, Alts Bandai| JPN, , , , Japan, , , , 
Stine Espeli Olsen,  49,  308.08, , , NOR, , , , , , , , Norway, , , , 
Meila Stalker,  50,  303.45, , , AUS, , , , , , , , Australia, , , , 
Thalie Larochaix,  51,  303.4, Roxy | , 21, FRA, Regular, 1m58, , St Martin de Belleville, , , , , , , , 
Amber Fennell,  52,  301.37, Never Summer | , 13, GBR, Regular, , , , , , , , , , , 
Hollie Smith,  53,  300.21, , , GBR, , , , , , , , , , , , 
Maggie Crompton,  54,  296.57, , , CAN, , , , , , , , , , , , 
Cheryl Maas,  55,  294.32, Celtek | Nixon | Rockstar | Vans | , 36, NED, Goofy, 174 cm, Oslo, Oslo| Tryvan, cherylmaas, cheryl maas, www.twitter.com/cheryl maas, , , , , 
Ge Rong,  56,  293.42, , , CHN, , , , , , , , , , , , 
Sina Candrian,  57,  292.96, Giro | Head | Neff | , 31, SUI, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, , , , , 
Reira Iwabuchi,  58,  290.01, , 18, JPN, , , , , , , , , , , , 
Jade Thurgood,  59,  288.61, , , USA, , , , , , , , , , , , 
Nadja Flemming,  60,  284.61, Burton Snowboards | Nikita | Shred | , 24, GER, Regular, , Röhrmoos, , , , , , , , , 
Kaitlyn Adams,  61,  280.94, Arbor Snowboards | Phunkshun Wear | ROCKWELL Time | , 15, USA, Regular, , Springfield, , , , , , , , , 
Marie Kreisingerova,  62,  278.36, , , CZE, , , , , , , , , , , , 
Kamilla Kozuback,  63,  275.9, , 16, CAN, , , , , , , , , , , , 
Veera Immonen,  64,  272.32, , , FIN, , , , , , , , , , , , 
Bettina Roll,  65,  269.05, , , NOR, , , , , , , , , , , , 
Terra Traub,  66,  266.32, , , TPE, , , , , , , , , , , , 
Andie Gendron,  67,  263.6, , 17, CAN, , , , , , , , , , , , 
Cool Wakushima,  68,  259.18, , , NZL, , , , , , , , , , , , 
Babet Bischof,  69,  258.06, , 20, SUI, Regular, , Chur, Davos| switzerland, , , , , , , , 
Heli Bockhorni,  70,  257.6, , , GER, , , , , , , , , , , , 
Marie Hahnl,  71,  256.28, , , GER, , , , , , , , , , , , 
Laura Zaveska,  72,  255.57, Anon Optics | Burton Snowboards | , 13, CZE, Regular, , , , , , , , , , , 
Danielle Weiler,  73,  254.01, , , USA, , , , , , , , , , , , 
Vanessa Volopichova,  74,  252.03, , , CZE, , , , , , , , , , , , 
Ella Sorensen,  75,  248.57, , , USA, , , , , , , , , , , , 
Klaudia Medlova,  76,  248.2, , 26, SVK, Regular, , Liptovsky Mikulas, , , , , , , , , 
Silvia Mittermüller,  77,  245.63, Breckenridge Resort | Planet Sports | Purl | Ride Snowboards | Vans | , 37, GER, Goofy, 167cm, München, Breckenridge| CO| USA, www.silviamittermuller.com, https://www.facebook.com/pages/Silvia-Mitterm%C3%BCller/184129604995477?ref=hl, www.twitter.com/SilviaMittermul, , , , , 
Acacia Rose,  78,  243.94, , , NOR, , , , , , , , , , , , 
Mia Brookes,  79,  238.29, Burton Snowboards | , 13, GBR, , , , , , , , , , , , 
Livia Tanno,  80,  237.62, , 18, SUI, Regular, , , , , , , , , , , 
Nikita Goryachev,  81,  237.53, , , RUS, , , , , , , , , , , , 
Alyssa Moroco,  82,  234.57, , , USA, , , , , , , , , , , , 
Tess Coady,  83,  233.33, Salomon | , 19, AUS, Regular, , St Kilda, , , , , , , , , 
Yuuri Yoshika,  84,  233.15, , 24, JPN, Regular, , Ichinomiya-Shi, , , , , , , , , 
Live Kampesaether,  85,  232.53, , , NOR, , , , , , , , , , , , 
Rori Avelar,  86,  232.25, , , USA, , , , , , , , , , , , 
Carla Somaini,  87,  232.05, FLUX BINDINGS | Level | Sims | Smith | , 29, SUI, Goofy, 166 cm, Zürich, Laax, , , , , , , , 
Laura Hahnl,  88,  230.24, , , GER, , , , , , , , , , , , 
Maria Mylius,  89,  228.76, , , NOR, , , , , , , , , , , , 
Eva Hanicova,  90,  225.99, , , SVK, , , , , , , , , , , , 
Brooke D’Hondt,  91,  217.68, , 15, CAN, , , , , , , , , , , , 
Novalie Engholm,  92,  214.25, , , SWE, , , , , , , , , , , , 
Manola Plur De La Rosa,  93,  211.15, , 14, GER, , , , , , , , , , , , 
Kokona Sakakibara,  94,  210.64, , , JPN, , , , , , , , , , , , 
Makayla Kellogg,  95,  208.24, , 18, USA, , , South Lake Tahoe, , , , , , , , , 
Enni Saarela,  96,  204.93, , , FIN, , , , , , , , , , , , 
Sweeney Marguerite,  97,  202.04, , , CAN, , , , , , , , , , , , 
Ayano Nakagawa,  98,  199.87, , , JPN, , , , , , , , , , , , 
Spencer O’Brien,  99,  198.14, Clast | Dragon | Nike | Nixon | Rockstar | , 32, CAN, Regular, 5ft.7in., Vancouver, WHISTLER| BC, www.spencerobrien.com, https://www.facebook.com/Spencer-OBrien-219537448056496/, www.twitter.com/@spencerobrien, , , , , 
Veda Hallen,  100,  197.38, , , USA, , , , , , , , , , , , 
Thalie Larochaix,  51,  303.4, Roxy | , 21, FRA, Regular, 1m58, , St Martin de Belleville, , , , France, , , , 
Amber Fennell,  52,  301.37, Never Summer | , 13, GBR, Regular, , , , , , , United Kingdom, , , , 
Hollie Smith,  53,  300.21, , , GBR, , , , , , , , United Kingdom, , , , 
Maggie Crompton,  54,  296.57, , , CAN, , , , , , , , Canada, , , , 
Cheryl Maas,  55,  294.32, Celtek | Nixon | Rockstar | Vans | , 36, NED, Goofy, 174 cm, Oslo, Oslo| Tryvan, cherylmaas, cheryl maas, www.twitter.com/cheryl maas, NED, , , , 
Ge Rong,  56,  293.42, , , CHN, , , , , , , , China, , , , 
Sina Candrian,  57,  292.96, Giro | Head | Neff | , 31, SUI, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, Switzerland, , , , 
Reira Iwabuchi,  58,  290.01, , 18, JPN, , , , , , , , Japan, , , , 
Jade Thurgood,  59,  288.61, , , USA, , , , , , , , United States, , , , 
Nadja Flemming,  60,  284.61, Burton Snowboards | Nikita | Shred | , 24, GER, Regular, , Röhrmoos, , , , , Germany, , , , 
Kaitlyn Adams,  61,  280.94, Arbor Snowboards | Phunkshun Wear | ROCKWELL Time | , 15, USA, Regular, , Springfield, , , , , United States, , , , 
Marie Kreisingerova,  62,  278.36, , , CZE, , , , , , , , Czech Republic, , , , 
Kamilla Kozuback,  63,  275.9, , 16, CAN, , , , , , , , Canada, , , , 
Veera Immonen,  64,  272.32, , , FIN, , , , , , , , Finland, , , , 
Bettina Roll,  65,  269.05, , , NOR, , , , , , , , Norway, , , , 
Terra Traub,  66,  266.32, , , TPE, , , , , , , , , , , , 
Andie Gendron,  67,  263.6, , 17, CAN, , , , , , , , Canada, , , , 
Cool Wakushima,  68,  259.18, , , NZL, , , , , , , , New Zealand, , , , 
Babet Bischof,  69,  258.06, , 20, SUI, Regular, , Chur, Davos| switzerland, , , , Switzerland, , , , 
Heli Bockhorni,  70,  257.6, , , GER, , , , , , , , Germany, , , , 
Marie Hahnl,  71,  256.28, , , GER, , , , , , , , Germany, , , , 
Laura Zaveska,  72,  255.57, Anon Optics | Burton Snowboards | , 13, CZE, Regular, , , , , , , Czech Republic, , , , 
Danielle Weiler,  73,  254.01, , , USA, , , , , , , , United States, , , , 
Vanessa Volopichova,  74,  252.03, , , CZE, , , , , , , , Czech Republic, , , , 
Ella Sorensen,  75,  248.57, , , USA, , , , , , , , United States, , , , 
Klaudia Medlova,  76,  248.2, , 26, SVK, Regular, , Liptovsky Mikulas, , , , , Slovakia, , , , 
Silvia Mittermüller,  77,  245.63, Breckenridge Resort | Planet Sports | Purl | Ride Snowboards | Vans | , 37, GER, Goofy, 167cm, München, Breckenridge| CO| USA, www.silviamittermuller.com, https://www.facebook.com/pages/Silvia-Mitterm%C3%BCller/184129604995477?ref=hl, www.twitter.com/SilviaMittermul, Germany, , , , 
Acacia Rose,  78,  243.94, , , NOR, , , , , , , , Norway, , , , 
Mia Brookes,  79,  238.29, Burton Snowboards | , 13, GBR, , , , , , , , United Kingdom, , , , 
Livia Tanno,  80,  237.62, , 18, SUI, Regular, , , , , , , Switzerland, , , , 
Nikita Goryachev,  81,  237.53, , , RUS, , , , , , , , Russian Federation, , , , 
Alyssa Moroco,  82,  234.57, , , USA, , , , , , , , United States, , , , 
Tess Coady,  83,  233.33, Salomon | , 19, AUS, Regular, , St Kilda, , , , , Australia, , , , 
Yuuri Yoshika,  84,  233.15, , 24, JPN, Regular, , Ichinomiya-Shi, , , , , Japan, , , , 
Live Kampesaether,  85,  232.53, , , NOR, , , , , , , , Norway, , , , 
Rori Avelar,  86,  232.25, , , USA, , , , , , , , United States, , , , 
Carla Somaini,  87,  232.05, FLUX BINDINGS | Level | Sims | Smith | , 29, SUI, Goofy, 166 cm, Zürich, Laax, , , , Switzerland, , , , 
Laura Hahnl,  88,  230.24, , , GER, , , , , , , , Germany, , , , 
Maria Mylius,  89,  228.76, , , NOR, , , , , , , , Norway, , , , 
Eva Hanicova,  90,  225.99, , , SVK, , , , , , , , Slovakia, , , , 
Brooke D’Hondt,  91,  217.68, , 15, CAN, , , , , , , , Canada, , , , 
Novalie Engholm,  92,  214.25, , , SWE, , , , , , , , Sweden, , , , 
Manola Plur De La Rosa,  93,  211.15, , 14, GER, , , , , , , , Germany, , , , 
Kokona Sakakibara,  94,  210.64, , , JPN, , , , , , , , Japan, , , , 
Makayla Kellogg,  95,  208.24, , 18, USA, , , South Lake Tahoe, , , , , United States, , , , 
Enni Saarela,  96,  204.93, , , FIN, , , , , , , , Finland, , , , 
Sweeney Marguerite,  97,  202.04, , , CAN, , , , , , , , Canada, , , , 
Ayano Nakagawa,  98,  199.87, , , JPN, , , , , , , , Japan, , , , 
Spencer O’Brien,  99,  198.14, Clast | Dragon | Nike | Nixon | Rockstar | , 32, CAN, Regular, 5ft.7in., Vancouver, WHISTLER| BC, www.spencerobrien.com, https://www.facebook.com/Spencer-OBrien-219537448056496/, www.twitter.com/@spencerobrien, Canada, , , , 
Veda Hallen,  100,  197.38, , , USA, , , , , , , , United States, , , , 
Ziyan Ren,  101,  197.23, , , CHN, , , , , , , , China, , , , 
Mari Fukada,  102,  195.3, , , JPN, , , , , , , , Japan, , , , 
Kianah Hyatt,  103,  195.05, , 18, CAN, , , , , , , , Canada, , , , 
Barrett Hendrix,  104,  194.53, , , USA, , , , , , , , United States, , , , 
Junyan Guo,  105,  194.11, , , CHN, , , , , , , , China, , , , 
Noemie Equy,  106,  192.98, , , FRA, , , , , , , , France, , , , 
Williams Darcy-Jane,  107,  192.13, , , GBR, , , , , , , , United Kingdom, , , , 
Lola Cowan,  108,  191.29, , , USA, , , , , , , , United States, , , , 
Anna Tomanova,  109,  190.93, , , CZE, , , , , , , , Czech Republic, , , , 
Ella Suitiala,  110,  188.85,  | , 31, FIN, Regular, , Rovaniemi, , , , , Finland, , , , 
Philippa Steeg,  111,  187.25, , , GER, , , , , , , , Germany, , , , 
Remi Yoshida,  112,  187.01, , , JPN, , , , , , , , Japan, , , , 
Shania Colsters,  113,  186.69, , , NED, , , , , , , , NED, , , , 
Luca Mai Lane Hopkins,  114,  185.99, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, Regular, , , , , , , United Kingdom, , , , 
Marilu Poluzzi,  115,  184.41, , , ITA, , , , , , , , Italy, , , , 
Shirly Kolodziej,  116,  182.85, , , SUI, , , , , , , , Switzerland, , , , 
Ida Roisonen,  117,  182.75, , , FIN, , , , , , , , Finland, , , , 
Antonia Yanez,  118,  179.81, , 21, CHI, , , , , , , , CHI, , , , 
Sini Lehtinen,  119,  179.33, , 20, FIN, , , , , , , , Finland, , , , 
Viktorie Zvadova,  120,  178.28, , , CZE, , , , , , , , Czech Republic, , , , 
Romy Van Vreden,  121,  173.89, , , NED, , , , , , , , NED, , , , 
Camilla Espeli Olsen,  122,  172.12, , , NOR, , , , , , , , Norway, , , , 
Napess Luna,  123,  169.35, , , CAN, , , , , , , , Canada, , , , 
Elizaveta Bogdanova,  124,  169.24, , , RUS, , , , , , , , Russian Federation, , , , 
Urska Pribosic,  125,  167.8, Amplifi | Flow | , 30, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , SLO, , , , 
Nika Kashevnik,  126,  166.85, , , RUS, , , , , , , , Russian Federation, , , , 
Lauren Derminio,  127,  166.37, , , USA, , , , , , , , United States, , , , 
Terra Traub,  128,  166.28, , , USA, , , , , , , , United States, , , , 
Stanislav Sokolov,  129,  161.89, , , RUS, , , , , , , , Russian Federation, , , , 
Kiara Morii,  130,  161.07, , , JPN, , , , , , , , Japan, , , , 
Hahna Norman,  131,  161.06, , , USA, , , , , , , , United States, , , , 
Karolina Stroh,  132,  159.45, , , GER, , , , , , , , Germany, , , , 
Maija Luurila,  133,  159.11, , , FIN, , , , , , , , Finland, , , , 
Kokomi Sano,  134,  157.84, , , JPN, , , , , , , , Japan, , , , 
Kristina Holzfeind,  135,  157.02, , , AUT, , , , , , , , Austria, , , , 
Ellie Duchow,  136,  154.32, , , USA, , , , , , , , United States, , , , 
Dongyu Li,  137,  152.95, , , CHN, , , , , , , , China, , , , 
Luan Salgueira,  138,  152.14, , 19, FRA, , , , , , , , France, , , , 
Océane Fillion,  139,  151.99, , 22, CAN, , , , , , , , Canada, , , , 
Rebecca Flynn,  140,  149.83, , , USA, , , , , , , , United States, , , , 
Andrina Salis,  141,  149.63, , , SUI, , , , , , , , Switzerland, , , , 
Milja Jaakkola,  142,  149.38, , , FIN, , , , , , , , Finland, , , , 
Jenny Kvamme,  143,  149.07, , , NOR, , , , , , , , Norway, , , , 
Elena Kostenko,  144,  146.73, Spy | VR Boardwear | , 25, RUS, Goofy, , Sankt-Peterburg, , , , , Russian Federation, , , , 
Momo Suzuki,  145,  146.55, , , JPN, , , , , , , , Japan, , , , 
Anastasia Loginova,  146,  144.62, , , RUS, , , , , , , , Russian Federation, , , , 
Kiara Zung,  147,  144.07, , , AUT, , , , , , , , Austria, , , , 
Ryou Kimura,  148,  142.75, , , JPN, , , , , , , , Japan, , , , 
Kristyna Leony Kulik,  149,  140.8, , , CZE, , , , , , , , Czech Republic, , , , 
Suzuha Maeda,  150,  140.72, , , JPN, , , , , , , , Japan, , , , 
Telma Saerkipaju,  151,  140.49, , , FIN, , , , , , , , Finland, , , , 
Eve Dowley,  152,  138.45, , , AUS, , , , , , , , Australia, , , , 
Bailey Birkkjaer,  153,  137.84, , 23, CAN, , , , , , , , Canada, , , , 
Lea Jugovac,  154,  135.26, , 25, CRO, Regular, , , , , , , CRO, , , , 
Gale Madison,  155,  134.42, , 18, CAN, Regular, , , , , , , Canada, , , , 
Katarina Tmusic,  156,  133.33, , , SRB, , , , , , , , Serbia, , , , 
Sara Zvadova,  157,  130.63, , , CZE, , , , , , , , Czech Republic, , , , 
Rino Araya,  158,  128.48, , , JPN, , , , , , , , Japan, , , , 
Yue Zhai,  159,  127.53, , , CHN, , , , , , , , China, , , , 
Yuuna Komuro,  160,  125.95, , 19, JPN, , , , , , , , Japan, , , , 
Ada Harinen,  161,  125.47, , , FIN, , , , , , , , Finland, , , , 
Ava Cook,  162,  125.18, , , CAN, , , , , , , , Canada, , , , 
Jelena Ignjatov,  163,  124.7, , 25, SRB, , , , , , , , Serbia, , , , 
Mia Grempel,  164,  122.66, , , GER, , , , , , , , Germany, , , , 
Mao Aizawa,  165,  121.61, , , JPN, , , , , , , , Japan, , , , 
Alina Cospolich,  166,  121.5, Bern Unlimited | , 14, USA, , , , , , , , United States, , , , 
Emilie Evensen,  167,  121.08, Bataleon | Rip Curl | , 33, NOR, Regular, , Oslo, Varingskollen| Norway, www.ripcurl.com, , , Norway, , , , 
Lucia Plur De La Rosa,  168,  120.94, , 15, GER, , , , , , , , Germany, , , , 
Tong Zhang,  169,  120.89, , , CHN, , , , , , , , China, , , , 
Tina Hjalland,  170,  119.26, , , NOR, , , , , , , , Norway, , , , 
Molly Phillips,  171,  116.7, , , FRA, , , , , , , , France, , , , 
Emma Bakke,  172,  115.79, , , NOR, , , , , , , , Norway, , , , 
Emeraude Maheux,  173,  115.16, , , CAN, , , , , , , , Canada, , , , 
Ariane Burri,  174,  114.63,  | , 20, SUI, Goofy, , Eschenbach Lu, , , , , Switzerland, , , , 
Jenna Walker,  175,  113.76, , , CAN, , , , , , , , Canada, , , , 
Thea Christine Rue,  176,  112.96, , , NOR, , , , , , , , Norway, , , , 
Alexandra Chen,  177,  111.5, , , AUS, , , , , , , , Australia, , , , 
Isabelle Lötscher,  178,  108.51, , , SUI, , , , , , , , Switzerland, , , , 
Anna Lora,  179,  105.75, , 26, AUT, Regular, , , , , , , Austria, , , , 
Andrea Kristiansen Rue,  180,  105.52, , , NOR, , , , , , , , Norway, , , , 
Bella Mauro,  181,  105.03, , , USA, , , , , , , , United States, , , , 
Imari Kato,  182,  104.26, , , JPN, , , , , , , , Japan, , , , 
Nicole Nastic,  183,  102.33, , , CRO, , , , , , , , CRO, , , , 
Paulina Zaradna,  184,  101.67, , , POL, , , , , , , , Poland, , , , 
Martyna MacIejewska,  185,  100.92, , , POL, , , , , , , , Poland, , , , 
Hege Johansen,  186,  100.77, , , NOR, , , , , , , , Norway, , , , 
Asja Klacar,  187,  100, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Nora Cornell,  187,  100, , , ESP, , , , , , , , Spain, , , , 
Felicity Geremia,  189,  99.6, , , CAN, , , , , , , , Canada, , , , 
Olivia Benneker,  190,  97.27, , , SUI, , , , , , , , Switzerland, , , , 
Sascha Elvy,  191,  96.65, , , AUS, , , , , , , , Australia, , , , 
Niina Sakakibara,  192,  95.85, , , JPN, , , , , , , , Japan, , , , 
Angelina McCaffrey,  193,  93.83, , , CAN, , , , , , , , Canada, , , , 
Matilde Pizzutto,  194,  91.54, , , ITA, , , , , , , , Italy, , , , 
Morena Poggi Silveira,  195,  90.97, , , ARG, , , , , , , , Argentina, , , , 
Rongrong Li,  196,  89.94, , , CHN, , , , , , , , China, , , , 
Giorgia Locatin,  197,  87.96, , , ITA, , , , , , , , Italy, , , , 
Janina Walz,  198,  87.62, , 12, GER, , , , , , , , Germany, , , , 
Anine Leenderts,  199,  87.59, , 18, NOR, , , , , , , , Norway, , , , 
Yuna Scheidegger,  200,  87.45, , , SUI, , , , , , , , Switzerland, , , , 
Maria Azul Chavez Martinez,  201,  86.96, , , ARG, , , , , , , , Argentina, , , , 
Paulina Mueller,  202,  86.42, , , GER, , , , , , , , Germany, , , , 
Futaba Takizawa,  203,  85.97, , , JPN, , , , , , , , Japan, , , , 
Cerys Allen,  204,  85.7, Never Summer | Pow Gloves | Westbeach | , 20, GBR, Goofy, 4ft.6, Buckingham, The Snow centre Hemel, www.cerysallen.co.uk, cerysallen, , United Kingdom, , , , 
Rongxi Jin,  205,  84.98, , , CHN, , , , , , , , China, , , , 
Anna Kamilla Hlynsdottir,  206,  84.33, , , ISL, , , , , , , , Iceland, , , , 
Rose Desjardins,  207,  82.56, , , CAN, , , , , , , , Canada, , , , 
Emma Gennero,  208,  82.04, , , ITA, , , , , , , , Italy, , , , 
Hanon Tsuchiya,  209,  81.94, , , JPN, , , , , , , , Japan, , , , 
Kaiya Collins,  210,  81.6, , , NZL, , , , , , , , New Zealand, , , , 
Ronja Haensel,  211,  81.28, , , AUT, , , , , , , , Austria, , , , 
 CorneliaOsther, 212, 80.71, , 
, NOR, , , , , , , , Norway, , , , 
Heta Heinonen,  213,  80.66, , , FIN, , , , , , , , Finland, , , , 
Sky Remans,  214,  80.23, , , BEL, , , , , , , , Belgium, , , , 
Jasmin Kaikuranta,  215,  79.21, , , FIN, , , , , , , , Finland, , , , 
Aroa Da Silva,  216,  78.89, , , ESP, , , , , , , , Spain, , , , 
Maisie Hill,  217,  78.58, , 19, GBR, , , , , , , , United Kingdom, , , , 
Olga Martinelli,  218,  77.98, , , ITA, , , , , , , , Italy, , , , 
Elena Schipani,  219,  77.74, , , USA, , , , , , , , United States, , , , 
Dana Peck,  220,  77.52, , , USA, , , , , , , , United States, , , , 
Bergdis Steinthorsdottir,  221,  77.03, , , ISL, , , , , , , , Iceland, , , , 
Tereza Sebkova,  222,  76.03, , , CZE, , , , , , , , Czech Republic, , , , 
Leonie Hasler,  223,  75.9, , , SUI, , , , , , , , Switzerland, , , , 
Ilvy Paul,  224,  75.87, , , AUT, , , , , , , , Austria, , , , 
Saya Maekawa,  225,  75.66, , , JPN, , , , , , , , Japan, , , , 
Anna Chymcakova,  226,  75.26, , , CZE, , , , , , , , Czech Republic, , , , 
Riley Boland,  227,  74.97, , , CAN, , , , , , , , Canada, , , , 
Andrea Seijas Fidalgo,  228,  73.98, , , ESP, , , , , , , , Spain, , , , 
Nora Healey,  229,  73.73, POC | , 22, USA, Regular, 5ft.8in., Plymouth, Waterville Valley, , , , United States, , , , 
Summer Coumont,  230,  73.61, , , CAN, , , , , , , , Canada, , , , 
Henna Ikola,  231,  73.03, Burton Snowboards | , 22, FIN, Goofy, 150cm, Hyvinkää, Sveitsin hiihtokeskus| Hyvinkää| Finland, , , , Finland, , , , 
Viviana Oram,  232,  73.01, , , USA, , , , , , , , United States, , , , 
Kirari Utsumi,  233,  72.85, , , JPN, , , , , , , , Japan, , , , 
Marija Petkovska,  234,  71.71, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Emily Wright,  235,  70.08, , , CAN, , , , , , , , Canada, , , , 
Ronja Paul,  236,  69.89, , , AUT, , , , , , , , Austria, , , , 
Hinoka Kato,  237,  69.89, , , JPN, , , , , , , , Japan, , , , 
Karoline Herleiksplass,  238,  69.51, , 22, NOR, , , , , , , , Norway, , , , 
Tinkara Tanja Valcl,  239,  68.82, , , SLO, , , , , , , , SLO, , , , 
Chu Tan,  240,  68.6, , , CHN, , , , , , , , China, , , , 
