lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter, rider_concat_id, 
Chomlack,  Jadyn, 38, 435.06, , 18, CAN, canada, , , , , , , , jadynchomlackcan, 
Boesiger,  Jonas, 39, 433.71, DC | Hae | Level | Smith | Union Bindings | , 25, SUI, switzerland, Regular, , Oberarth, , www.jonasboesiger.com, https://www.facebook.com/jonasboesigercom, , jonasboesigersui, 
Bullock-Womble,  Fynn, 40, 433.16, , , USA, united states, , , , , , , , fynnbullock-wombleusa, 
Jobin,  Francis, 41, 422.25, , 22, CAN, canada, Regular, , , , , , , francisjobincan, 
Kleveland,  Marcus, 42, 412.1,  | , 21, NOR, norway, Goofy, 172, DombÅs, Dombås Skiheiser, instagram.com/marcuskleveland, https://www.facebook.com/MarcusKleveland/, , marcusklevelandnor, 
Rowe,  Storm, 43, 409.57, , 20, USA, united states, Regular, , , Mt Snow| VT, , , , stormroweusa, 
Jarvis,  Carter, 44, 408.75, Analog | Burton Snowboards | , 21, CAN, canada, Regular, 5ft.9in., Calgary, Whistler Blackcomb, Instagram.com/carterjarviss, , , carterjarviscan, 
Lauzi,  Emiliano, 45, 405.2, Drake | Northwave | Picture | Santa Cruz | , 26, ITA, italy, Goofy, , Milano, , , , , emilianolauziita, 
Kirkhus,  Oyvind, 46, 400.0, , , NOR, norway, , , , , , , , oyvindkirkhusnor, 
Vicktor,  Noah, 47, 399.56, Hae | Level | Salomon | Smith | SVD | , 19, GER, germany, Goofy, , , , , , , noahvicktorger, 
Finestone,  Finn, 48, 398.63, , 17, CAN, canada, , , , , , , , finnfinestonecan, 
Hasegawa,  Taiga, 49, 397.63, , , JPN, japan, , , , , , , , taigahasegawajpn, 
Rehnberg,  Mikko, 50, 396.17, Ride Snowboards | , 23, FIN, finland, Regular, , Kuopio, , , , , mikkorehnbergfin, 
Jarvilehto,  Kalle, 51, 394.44, Iso-Syöte Snowpark | , 25, FIN, , Regular, 181 cm, Espoo, Iso-Syöte| Finland, www.instagram.com/kallejarvilehto/, www.facebook.com/kallejarvilehtofficial/, , kallejarvilehtofin, 
Canter,  Jake, 52, 381.19, , 17, USA, , , , Evergreen, , , , , jakecanterusa, 
Ulstein,  Isak, 53, 380.49, Anon Optics | Burton Snowboards | , 22, NOR, , Regular, 1|79 cm, Royken, Oslo Vinterpark and Kirkerud, Isak Ulstein at Instagram, Isak Ulstein, , isakulsteinnor, 
Tveiten,  Sindre, 54, 376.33, , 22, NOR, , Goofy, 190, , Hovden, , Sindre Tveiten, , sindretveitennor, 
Framarin,  Loris, 55, 375.94, , 22, ITA, , , , , , , , , lorisframarinita, 
Cox,  Matthew, 56, 369.13, , 22, AUS, , Regular, 5.11ft., Stanwell Park, Perisher Blue, , , , matthewcoxaus, 
MacDougall,  Jack, 57, 365.42, , 19, CAN, , Regular, 5ft.6in., , Nitehawk, , , , jackmacdougallcan, 
Stassel,  Ryan, 58, 358.24, Bolle | US Snowboarding | , 28, USA, , Regular, 5ft. 11in., Anchorage, Alyeska Resort and Boreal, @RyanStassel, www.facebook.com/RyanStassel, , ryanstasselusa, 
Millauer,  Clemens, 59, 358.19, Absolut Park | Anon Optics | Burton Snowboards | , 25, AUT, , Regular, , Molln, , , , , clemensmillaueraut, 
Taklo,  Johannes, 60, 354.87, , , NOR, , , , , , , , , johannestaklonor, 
Watanabe,  Rikuto, 61, 354.67, , , JPN, , , , , , , , , rikutowatanabejpn, 
Smith,  Truth, 62, 353.26, , 16, CAN, , , , , , , , , truthsmithcan, 
Modesti,  Michael, 63, 350.35, , 19, CAN, , , , , , , , , michaelmodestican, 
Gill,  Liam, 64, 348.18, , 17, CAN, , , , , , , , , liamgillcan, 
McCormick,  Matt, 65, 345.89, Salomon | TSA | , 23, GBR, , Regular, , Glasgow, , , , , mattmccormickgbr, 
Yamada,  Yuto, 66, 343.37, , , JPN, , , , , , , , , yutoyamadajpn, 
Parrot,  Max, 67, 341.23, Monster Energy | Nobaday | , 26, CAN, , Goofy, 5ft.11, Bromont, Bromont, www.instagram.com/maxparrot, www.facebook.com/MaxenceParrot, www.twitter.com/MaxParrot, maxparrotcan, 
Comeau,  Lucas, 68, 341.15, , 18, CAN, , Goofy, , Calgary, Canada Olympic Park| Calgary, instagram.com/lucascomeau_, , , lucascomeaucan, 
Eckhoff,  Mathias, 69, 340.74, Dragon | , 21, NOR, , Regular, 176 cm, Østerås, Tryvann, , Mathias Eckhoff, , mathiaseckhoffnor, 
Otsuka,  Takeru, 70, 340.14, Burton Snowboards | , 19, JPN, , , , Atsugi, , , , , takeruotsukajpn, 
Laframboise,  Nicolas, 71, 340.08, , 20, CAN, , , , , , , , , nicolaslaframboisecan, 
Goulet,  Hunter, 72, 338.39, Burton Snowboards | , 16, USA, , Goofy, 5ft.8, , Park City, instagram@huntergoulet, , , huntergouletusa, 
Demchuck,  Keenan, 73, 334.1, , , CAN, , , , , , , , , keenandemchuckcan, 
Vilhelmsson,  Baldur, 74, 332.27, , , ISL, , , , , , , , , baldurvilhelmssonisl, 
Toutant,  Sebastien, 75, 331.97, O'Neill | Red Bull | Ride Snowboards | , 28, CAN, , Goofy, 5ft.6in., Repentigny, Val St-Come, , , , sebastientoutantcan, 
Davern,  Mitchell, 76, 328.89, , 18, NZL, , , , Auckland, , , , , mitchelldavernnzl, 
Wolf,  Casper, 77, 328.04, Protest | Salomon | , 19, NED, , , , , , , , , casperwolfned, 
Fricz,  Botond Istvan, 78, 323.46, , 19, HUN, , , , , , , , , botond istvanfriczhun, 
Vockensperger,  Leon, 79, 322.55, Anon Optics | Burton Snowboards | , 21, GER, , Regular, 1|80 m, , , https://www.instagram.com/leonvockensperger/, https://m.facebook.com/Leon-Vockensperger-124671481205598/, , leonvockenspergerger, 
Mathisen,  William, 80, 322.33, , , SWE, , , , , , , , , williammathisenswe, 
Garcia Knight,  Carlos, 81, 312.1, Burton Snowboards | Mons Royale | , 23, NZL, , Regular, 5ft.10, Christchurch, Cardrona Alpine Resort, instagram.com/carlosgk, https://www.facebook.com/CarlosGarciaKnight, www.twitter.com/carlosgk_, carlosgarcia knightnzl, 
Izzard,  William, 82, 312.04, , 23, CAN, , , , , , , , , williamizzardcan, 
Laesser,  Martin, 83, 310.15, , 22, SUI, , , , , , , , , martinlaessersui, 
Menzies,  Dane, 84, 309.56, , 15, CAN, , , , , , , , , danemenziescan, 
Stevens,  Liam, 85, 308.7, , 23, CAN, , , , , , , , , liamstevenscan, 
Koven,  Sam, 86, 304.01, , 19, CAN, , , , , , , , , samkovencan, 
Matveev,  Mikhail, 87, 300.9, , 24, RUS, , Goofy, , , , , https://www.facebook.com/misha.matveev.940, , mikhailmatveevrus, 
Guetl,  Leon, 88, 300.0, , 19, GER, , , , , , , , , leonguetlger, 
Vandeweyer,  Stef, 89, 299.3, Dakine | TSG | 686 | , 21, BEL, , Goofy, , Meerhout, , , , , stefvandeweyerbel, 
Lee,  Minsik, 90, 296.68, Burton Snowboards | , 20, KOR, , Regular, 168cm, Kyounggi-Do, , , , , minsikleekor, 
Schaerer,  Michael, 91, 296.61,  | , 23, SUI, , Regular, 185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , michaelschaerersui, 
Skjomming,  Kristian, 92, 295.96, , , NOR, , , , , , , , , kristianskjommingnor, 
Healy,  Will, 93, 292.22, Burton Snowboards | Giro | , 18, USA, , Regular, , , , , , , willhealyusa, 
Massitti,  Mateo, 94, 291.78, , 19, CAN, , Goofy, , , , , , , mateomassittican, 
Hrones,  Jakub, 95, 290.97, , , CZE, , , , , , , , , jakubhronescze, 
Jaros,  Samuel, 96, 289.28, , , SVK, , , , , , , , , samueljarossvk, 
Groterud,  Magnus, 97, 288.04, , , NOR, , , , , , , , , magnusgroterudnor, 
Frijns,  Joewen, 98, 287.32, , , BEL, , , , , , , , , joewenfrijnsbel, 
Adams,  Gabriel, 99, 285.49, Endeavor | , 17, GBR, , Goofy, , , , , , , gabrieladamsgbr, 
Otsubo,  Shuzaburo, 100, 283.11, , 17, JPN, , , , , , , , , shuzaburootsubojpn, 
Kristjansson,  Marino, 101, 281.04, , 19, ISL, iceland, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , marinokristjanssonisl, 
Lecroy,  Kolman, 102, 280.71, , , USA, united states, , , , , , , , kolmanlecroyusa, 
Katko,  Grey, 103, 280.32, , , USA, united states, , , , , , , , greykatkousa, 
Kautonen,  Valtteri, 104, 279.3, , , FIN, finland, , , , , , , , valtterikautonenfin, 
Vik,  Sebastian, 105, 267.4, , , NOR, norway, , , , , , , , sebastianviknor, 
De Sloover,  Jules, 106, 267.3, , , BEL, belgium, , , , , , , , julesde slooverbel, 
Fitzgerald,  Tj, 107, 267.18, , 19, USA, united states, Regular, , Stratton, Stratton VT, , , , tjfitzgeraldusa, 
Ogiwara,  Hiroto, 108, 267.04, , , JPN, japan, , , , , , , , hirotoogiwarajpn, 
Inamura,  Keita, 109, 266.67, , 23, JPN, japan, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , keitainamurajpn, 
Nevakivi,  Aleksi, 110, 265.13,  | , 21, FIN, finland, Goofy, , , , , , , aleksinevakivifin, 
Olimstad,  Markus, 111, 262.52, , 26, NOR, norway, Goofy, , Aamli, , , , , markusolimstadnor, 
BARTET,  Titouan, 112, 261.89,  | , 20, FRA, france, Regular, , Laval, , , , , titouanbartetfra, 
Lewis,  Tyson, 113, 260.63, , 14, CAN, canada, , , , , , , , tysonlewiscan, 
Ethier,  Louis, 114, 259.96, , 14, CAN, canada, , , , , , , , louisethiercan, 
Groeneveld,  Kai, 115, 259.13, , 16, NED, ned, Regular, , , , , , , kaigroeneveldned, 
Rohrt,  Odin, 116, 258.41, , 15, NOR, norway, Goofy, , , , , , , odinrohrtnor, 
Okubo,  Yuri, 117, 255.17, , 20, JPN, japan, , , Sappro-Shi?hokkaido, , , , , yuriokubojpn, 
Weaver,  Lane, 118, 252.7, , 17, CAN, canada, , , , , , , , laneweavercan, 
Johnson,  Liam, 119, 251.65, , , USA, united states, , , , , , , , liamjohnsonusa, 
Boggio,  Davide, 120, 251.13, , 21, ITA, italy, , , , , , , , davideboggioita, 
Hofmann,  Patrick, 121, 250.78,  | , 19, SUI, switzerland, Goofy, , , , patrick.notizia.ch/, , , patrickhofmannsui, 
Denham,  Jake, 122, 248.72, , , USA, united states, , , , , , , , jakedenhamusa, 
Junker,  Jonas, 123, 248.13, , 20, SUI, switzerland, Goofy, , , , , , , jonasjunkersui, 
Fridbjornsson,  Benedikt, 124, 247.67, Red Bull | Union Bindings | , 16, ISL, iceland, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, benediktfridbjornssonisl, 
Ohashi,  Rikuto, 125, 246.27, , 18, JPN, japan, Goofy, , Sapporo, , , , , rikutoohashijpn, 
Traasdahl Fornes,  Anders, 126, 245.71, , , NOR, norway, , , , , , , , anderstraasdahl fornesnor, 
Su,  Yiming, 127, 243.02, , , CHN, china, , , , , , , , yimingsuchn, 
Yamase,  Kensho, 128, 242.95, , , JPN, japan, , , , , , , , kenshoyamasejpn, 
Frischhut,  Lukas, 129, 241.01, , , AUT, austria, , , , , , , , lukasfrischhutaut, 
Aizawa,  Ryo, 130, 240.74, , , JPN, japan, , , , , , , , ryoaizawajpn, 
Yanez,  Alvaro, 131, 239.17, , 18, CHI, chi, , , , , , , , alvaroyanezchi, 
Kirkevoll,  Embrik, 132, 238.92, , , NOR, norway, , , , , , , , embrikkirkevollnor, 
Vermaat,  Sam, 133, 238.87, , , NED, ned, , , , , , , , samvermaatned, 
Bergman,  Joonas, 134, 238.83, , 20, FIN, finland, , , , , , , , joonasbergmanfin, 
Aragon,  Jose Antonio, 135, 238.76, , , ESP, spain, , , , , , , , jose antonioaragonesp, 
Konijnenberg,  Sebastien, 136, 237.4, Rip Curl | Salomon | , 23, FRA, france, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , sebastienkonijnenbergfra, 
Giblin,  Parker, 137, 236.94, , , USA, united states, , , , , , , , parkergiblinusa, 
Mekinc,  Naj, 138, 236.93, , , SLO, slo, , , , , , , , najmekincslo, 
Miller,  Nicholas, 139, 236.89, , , USA, united states, , , , , , , , nicholasmillerusa, 
Luckerbauer,  David, 140, 236.84, , 20, AUT, austria, Goofy, , , , , , , davidluckerbaueraut, 
Van Hoof,  Ilias, 141, 236.59, , 21, BEL, belgium, , , Kontich, , , , , iliasvan hoofbel, 
Cockrell,  Billy, 142, 235.28, , 21, GBR, united kingdom, , , Sheffield, , , , , billycockrellgbr, 
De Buck,  Sebbe, 143, 234.73, DC | Giro | Monster Energy | Union Bindings | , 25, BEL, belgium, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , sebbede buckbel, 
Nagasawa,  Hayato, 144, 232.05, Fanatic | , 18, JPN, japan, Regular, , , , , , , hayatonagasawajpn, 
Gauger,  Wendelin, 145, 231.94, , 20, SUI, switzerland, Regular, 187, Schwyz, Mythepark, , , , wendelingaugersui, 
Valax,  Enzo, 146, 231.26, , 20, FRA, france, , , , , , , , enzovalaxfra, 
Ogasawara,  Senan, 147, 228.68, , , JPN, japan, , , , , , , , senanogasawarajpn, 
Tsuji,  Hinata, 148, 227.8, , , JPN, japan, , , , , , , , hinatatsujijpn, 
Mather,  Samuel, 149, 227.3, , 17, CAN, canada, , , , , , , , samuelmathercan, 
McDermott,  Eli, 150, 226.97, , , USA, united states, , , , , , , , elimcdermottusa, 
Williams,  Max, 151, 226.42, , , USA, united states, , , , , , , , maxwilliamsusa, 
Klebe-Mcculloch,  Dashiell, 152, 224.69, , , CAN, canada, , , , , , , , dashiellklebe-mccullochcan, 
Lee,  Chaeun, 153, 224.56, , , KOR, korea, , , , , , , , chaeunleekor, 
Fujiya,  Ryoji, 154, 222.39, , , JPN, japan, , , , , , , , ryojifujiyajpn, 
Smith,  Ethan, 155, 221.54, Never Summer | , 17, GBR, united kingdom, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, ethansmithgbr, 
Nicholson,  Tyler, 156, 221.54, Lib Technologies | Rockstar | Under Armour | , 25, CAN, canada, Regular, , North Bay, , , , , tylernicholsoncan, 
Boll,  Moritz, 157, 221.13,  | , 20, SUI, switzerland, , , , , , , , moritzbollsui, 
Machtans,  Ben, 158, 220.9, , 17, CAN, canada, , , , , , , , benmachtanscan, 
Koenen,  Fynn, 159, 219.77, , , GER, germany, , , , , , , , fynnkoenenger, 
Vaisanen,  Emppu, 160, 217.88, , , FIN, finland, , , , , , , , emppuvaisanenfin, 
Rovensky,  Jan, 161, 217.5, , , CZE, czech republic, , , , , , , , janrovenskycze, 
Lenchevskiy,  Yaroslav, 162, 216.08, , , RUS, russian federation, , , , , , , , yaroslavlenchevskiyrus, 
Wega,  Carter, 163, 215.36, , 13, CAN, canada, , , , , , , , carterwegacan, 
Atno,  Alex, 164, 214.6, , , USA, united states, , , , , , , , alexatnousa, 
Moon,  Jaxson, 165, 214.16, , , USA, united states, , , , , , , , jaxsonmoonusa, 
Larochaix,  Noe, 166, 213.69, , , FRA, france, Regular, , , , , , , noelarochaixfra, 
Breu,  Moritz, 167, 213.54, , 17, GER, germany, Goofy, , , , , , , moritzbreuger, 
Kaufmann,  Moritz, 168, 213.31, , 20, AUT, austria, , , , , , , , moritzkaufmannaut, 
Ferry,  Lucas, 169, 212.97, , , USA, united states, , , , , , , , lucasferryusa, 
Lotorto,  Alessandro Marco, 170, 211.44, , , SUI, switzerland, , , , , , , , alessandro marcolotortosui, 
Riddell,  Evan, 171, 211.2, , 16, CAN, canada, , , , , , , , evanriddellcan, 
Milenkovic,  Matija, 172, 211.04, , 19, SRB, serbia, , , , , , , , matijamilenkovicsrb, 
Chomlack,  Caleb, 173, 211.01, , 16, CAN, canada, , , , , , , , calebchomlackcan, 
Sanzhapov,  Serhii, 174, 210.48, , 15, UKR, ukraine, Regular, , Kiev, , , , , serhiisanzhapovukr, 
Christensson,  Conner, 175, 208.85, , 18, CAN, canada, , , , , , , , connerchristenssoncan, 
Vallieres,  Tyler, 176, 208.6, , , USA, united states, , , , , , , , tylervallieresusa, 
Puenter,  Nick, 177, 208.59, Head | TSG | Zimtstern | , 18, SUI, switzerland, Goofy, , Staefa, , , , , nickpuentersui, 
Lundstroem,  Gustaf, 178, 208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, sweden, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , gustaflundstroemswe, 
Strohmeyer,  Till, 179, 203.74, , 18, AUT, austria, , , Kiefersfelden, , , , , tillstrohmeyeraut, 
Krauskopf,  Tosh, 180, 203.33, , 15, CAN, canada, , , , , , , , toshkrauskopfcan, 
Smelov,  Aleksandr, 181, 203.11,  | , 24, RUS, russian federation, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , aleksandrsmelovrus, 
Moretti,  Sacha, 182, 203.04, igwis | Quiksilver | Waxx | , 22, FRA, france, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , sachamorettifra, 
Mork Danielsen,  Sander, 183, 202.75, , , NOR, norway, , , , , , , , sandermork danielsennor, 
Blake,  Wyatt, 184, 202.01, , , USA, united states, , , , , , , , wyattblakeusa, 
Kudo,  Yamato, 185, 200.95, , , JPN, japan, , , , , , , , yamatokudojpn, 
Tongko,  Adrian Lee, 186, 200.07, Salomon | , 24, PHI, phi, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , adrian leetongkophi, 
Miyamura,  Yuto, 187, 199.89, , , JPN, japan, , , , , , , , yutomiyamurajpn, 
Fuser,  Elia Manuel, 188, 199.64, , , ITA, italy, , , , , , , , elia manuelfuserita, 
Kallo,  Sami, 189, 199.23, , , FIN, finland, , , , , , , , samikallofin, 
Teixeira,  Augustinho, 190, 198.57, , , BRA, brazil, , , , , , , , augustinhoteixeirabra, 
Kaku,  Shusei, 191, 198.25, , , JPN, japan, , , , , , , , shuseikakujpn, 
Gray,  Nathan, 192, 196.45, , 19, FRA, france, , , St Martin De Belleville, , , , , nathangrayfra, 
Maffei,  Alberto, 193, 195.8,  | , 25, ITA, italy, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , albertomaffeiita, 
Suzuki,  Atsuhiro, 194, 195.47, , , JPN, japan, , , , , , , , atsuhirosuzukijpn, 
Denda,  Jeremy, 195, 194.94, , , SUI, switzerland, , , , , , , , jeremydendasui, 
Stang,  Karis, 196, 193.36, , , USA, united states, , , , , , , , karisstangusa, 
Brcic,  Dante, 197, 192.27, , , CRO, cro, , , , , , , , dantebrciccro, 
Thelen,  Axel, 198, 191.99, Voelkl | , 23, FIN, finland, Regular, , Helsinki, , , , , axelthelenfin, 
Vo,  Ryan, 199, 190.19, , 16, CAN, canada, , , , , , , , ryanvocan, 
Almqvist,  Gabriel, 200, 189.93, , , SWE, sweden, , , , , , , , gabrielalmqvistswe, 
Freitas,  Jaden, 201, 189.34, , 16, USA, united states, , , Bend, , , , , jadenfreitasusa, 
Frey,  Leopold, 202, 188.83, , , GER, germany, , , , , , , , leopoldfreyger, 
Schwan,  Philip, 203, 188.37, Rossignol | Vans | , 20, GER, germany, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , philipschwanger, 
Schmitt,  Matias, 204, 187.09, , , ARG, argentina, , , , , , , , matiasschmittarg, 
Briggs,  Lucas, 205, 183.54, , 16, CAN, canada, , , , , , , , lucasbriggscan, 
Irarrazaval,  Inaqui, 206, 183.53, , 28, CHI, chi, , , , , , , , inaquiirarrazavalchi, 
Zulian,  Emil, 207, 182.05, Burton Snowboards | , 23, ITA, italy, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , emilzulianita, 
Fairgrieve-Park,  Kalin, 208, 181.55, , 20, CAN, canada, , , , , , , , kalinfairgrieve-parkcan, 
Castro,  Jaime, 209, 181.36, , , ESP, spain, , , , , , , , jaimecastroesp, 
Valles,  Cole, 210, 181.1, , , USA, united states, , , , , , , , colevallesusa, 
Karhila,  Roni, 211, 180.3, , , FIN, finland, , , , , , , , ronikarhilafin, 
Morauskas,  Motiejus, 212, 179.64, , , LTU, lithuania, , , , , , , , motiejusmorauskasltu, 
Oliver,  Lenny, 213, 179.26, , , FRA, france, , , , , , , , lennyoliverfra, 
Petrick,  Ryder, 214, 178.83, , 19, CAN, canada, , , , , , , , ryderpetrickcan, 
Tyler,  Hayden, 215, 178.77, , , USA, united states, , , , , , , , haydentylerusa, 
Ironside,  Glen, 216, 178.76,  | , 21, GBR, united kingdom, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , glenironsidegbr, 
Merken,  Julien, 217, 177.83, , , FRA, france, , , , , , , , julienmerkenfra, 
Liviero,  Nicola, 218, 176.8,  | , 21, ITA, italy, Regular, , , , , , , nicolalivieroita, 
Framarin,  Leo, 219, 175.45, , , ITA, italy, , , , , , , , leoframarinita, 
