lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Smith,  Hollie, 53, 300.21, , , GBR, United Kingdom, , , , , , , , , , 
Crompton,  Maggie, 54, 296.57, , , CAN, Canada, , , , , , , , , , 
Maas,  Cheryl, 55, 294.32, Celtek | Nixon | Rockstar | Vans | , 36, NED, NED, Goofy, 174 cm, Oslo, Oslo| Tryvan, cherylmaas, cheryl maas, www.twitter.com/cheryl maas, , , 
Rong,  Ge, 56, 293.42, , , CHN, China, , , , , , , , , , 
Traub,  Terra, 57, 293.21, , , TPE, , , , , , , , , , , 
Candrian,  Sina, 58, 292.96, Giro | Head | Neff | , 31, SUI, Switzerland, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, , , 
Iwabuchi,  Reira, 59, 290.01, , 18, JPN, Japan, , , , , , , , , , 
Thurgood,  Jade, 60, 288.61, , , USA, United States, , , , , , , , , , 
Flemming,  Nadja, 61, 284.61, Burton Snowboards | Nikita | Shred | , 24, GER, Germany, Regular, , Röhrmoos, , , , , , , 
Adams,  Kaitlyn, 62, 280.94, Arbor Snowboards | Phunkshun Wear | ROCKWELL Time | , 15, USA, United States, Regular, , Springfield, , , , , , , 
Kreisingerova,  Marie, 63, 278.36, , , CZE, Czech Republic, , , , , , , , , , 
Kozuback,  Kamilla, 64, 275.9, , 16, CAN, Canada, , , , , , , , , , 
Immonen,  Veera, 65, 272.32, , , FIN, Finland, , , , , , , , , , 
Roll,  Bettina, 66, 269.05, , , NOR, Norway, , , , , , , , , , 
Volopichova,  Vanessa, 67, 266.5, , , CZE, Czech Republic, , , , , , , , , , 
Gendron,  Andie, 68, 263.6, , 17, CAN, Canada, , , , , , , , , , 
Wakushima,  Cool, 69, 259.18, , , NZL, New Zealand, , , , , , , , , , 
Bischof,  Babet, 70, 258.06, , 20, SUI, Switzerland, Regular, , Chur, Davos| switzerland, , , , , , 
Bockhorni,  Heli, 71, 257.6, , , GER, Germany, , , , , , , , , , 
Hahnl,  Marie, 72, 256.28, , , GER, Germany, , , , , , , , , , 
Hanicova,  Eva, 73, 255.96, , , SVK, Slovakia, , , , , , , , , , 
Zaveska,  Laura, 74, 255.57, Anon Optics | Burton Snowboards | , 13, CZE, Czech Republic, Regular, , , , , , , , , 
Weiler,  Danielle, 75, 254.01, , , USA, United States, , , , , , , , , , 
Sorensen,  Ella, 76, 248.57, , , USA, United States, , , , , , , , , , 
Medlova,  Klaudia, 77, 248.2, , 27, SVK, Slovakia, Regular, , Liptovsky Mikulas, , , , , , , 
Mittermueller,  Silvia, 78, 245.63, Breckenridge Resort | Planet Sports | Purl | Ride Snowboards | Vans | , 37, GER, Germany, Goofy, 167cm, München, Breckenridge| CO| USA, www.silviamittermuller.com, https://www.facebook.com/pages/Silvia-Mitterm%C3%BCller/184129604995477?ref=hl, www.twitter.com/SilviaMittermul, , , 
Rose,  Acacia, 79, 243.94, , , NOR, Norway, , , , , , , , , , 
Brookes,  Mia, 80, 238.29, Burton Snowboards | , 13, GBR, United Kingdom, , , , , , , , , , 
Tanno,  Livia, 81, 237.62, , 18, SUI, Switzerland, Regular, , , , , , , , , 
Romanova,  Varvara, 82, 237.53, , , RUS, Russian Federation, , , , , , , , , , 
Moroco,  Alyssa, 83, 234.57, , , USA, United States, , , , , , , , , , 
Coady,  Tess, 84, 233.33, Salomon | , 19, AUS, Australia, Regular, , St Kilda, , , , , , , 
Yoshika,  Yuri, 85, 233.15, , 24, JPN, Japan, Regular, , Ichinomiya-Shi, , , , , , , 
Kampesaether,  Live, 86, 232.53, , , NOR, Norway, , , , , , , , , , 
Avelar,  Rori, 87, 232.25, , , USA, United States, , , , , , , , , , 
Somaini,  Carla, 88, 232.05, FLUX BINDINGS | Level | Sims | Smith | , 29, SUI, Switzerland, Goofy, 166 cm, Zürich, Laax, , , , , , 
Hahnl,  Laura, 89, 230.24, , , GER, Germany, , , , , , , , , , 
Mylius,  Maria, 90, 228.76, , , NOR, Norway, , , , , , , , , , 
Dhondt,  Brooke, 91, 217.68, , 15, CAN, Canada, , , , , , , , , , 
Engholm,  Novalie, 92, 214.25, , , SWE, Sweden, , , , , , , , , , 
Plur De La Rosa,  Manola, 93, 211.15, , 14, GER, Germany, , , , , , , , , , 
Sakakibara,  Kokona, 94, 210.64, , , JPN, Japan, , , , , , , , , , 
Kellogg,  Makayla, 95, 208.24, , 18, USA, United States, , , South Lake Tahoe, , , , , , , 
Saarela,  Enni, 96, 204.93, , , FIN, Finland, , , , , , , , , , 
Marguerite,  Sweeney, 97, 202.04, , , CAN, Canada, , , , , , , , , , 
Nakagawa,  Ayano, 98, 199.87, , , JPN, Japan, , , , , , , , , , 
O Brien,  Spencer, 99, 198.14, Clast | Dragon | Nike | Nixon | Rockstar | , 32, CAN, Canada, Regular, 5ft.7in., Vancouver, WHISTLER| BC, www.spencerobrien.com, https://www.facebook.com/Spencer-OBrien-219537448056496/, www.twitter.com/@spencerobrien, , , 
Hallen,  Veda, 100, 197.38, , , USA, United States, , , , , , , , , , 
Ren,  Ziyan, 101, 197.23, , , CHN, China, , , , , , , , , , 
Fukada,  Mari, 102, 195.3, , , JPN, Japan, , , , , , , , , , 
Hyatt,  Kianah, 103, 195.05, , 18, CAN, Canada, , , , , , , , , , 
Hendrix,  Barrett, 104, 194.53, , , USA, United States, , , , , , , , , , 
Guo,  Junyan, 105, 194.11, , , CHN, China, , , , , , , , , , 
Equy,  Noemie, 106, 192.98, , , FRA, France, , , , , , , , , , 
Williams ,  Darcy-Jane, 107, 192.13, , , GBR, United Kingdom, , , , , , , , , , 
Cowan,  Lola, 108, 191.29, , , USA, United States, , , , , , , , , , 
Tomanova,  Anna, 109, 190.93, , , CZE, Czech Republic, , , , , , , , , , 
Suitiala,  Ella, 110, 188.85,  | , 31, FIN, Finland, Regular, , Rovaniemi, , , , , , , 
Steeg,  Philippa, 111, 187.25, , , GER, Germany, , , , , , , , , , 
Yoshida,  Remi, 112, 187.01, , , JPN, Japan, , , , , , , , , , 
Colsters,  Shania, 113, 186.69, , , NED, NED, , , , , , , , , , 
Lane Hopkins,  Luca Mai, 114, 185.99, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, United Kingdom, Regular, , , , , , , , , 
Poluzzi,  Marilu, 115, 184.41, , , ITA, Italy, , , , , , , , , , 
Kolodziej,  Shirly, 116, 182.85, , , SUI, Switzerland, , , , , , , , , , 
Raisanen,  Ida, 117, 182.75, , , FIN, Finland, , , , , , , , , , 
Yanez,  Antonia, 118, 179.81, , 21, CHI, CHI, , , , , , , , , , 
Lehtinen,  Sini, 119, 179.33, , 20, FIN, Finland, , , , , , , , , , 
Zvadova,  Viktorie, 120, 178.28, , , CZE, Czech Republic, , , , , , , , , , 
Holzfeind,  Kristina, 121, 173.99, , , AUT, Austria, , , , , , , , , , 
Van Vreden,  Romy, 122, 173.89, , , NED, NED, , , , , , , , , , 
Espeli Olsen,  Kamilla, 123, 172.12, , , NOR, Norway, , , , , , , , , , 
Napess,  Lounah, 124, 169.35, , , CAN, Canada, , , , , , , , , , 
Bogdanova,  Elizaveta, 125, 169.24, , , RUS, Russian Federation, , , , , , , , , , 
Pribosic,  Urska, 126, 167.8, Amplifi | Flow | , 30, SLO, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , , , 
Kashevnik,  Nika, 127, 166.85, , , RUS, Russian Federation, , , , , , , , , , 
Derminio,  Lauren, 128, 166.37, , , USA, United States, , , , , , , , , , 
Stepanova,  Eseniya, 129, 161.89, , , RUS, Russian Federation, , , , , , , , , , 
Morii,  Kiara, 130, 161.07, , , JPN, Japan, , , , , , , , , , 
Norman,  Hahna, 131, 161.06, , , USA, United States, , , , , , , , , , 
Stroh,  Karolina, 132, 159.45, , , GER, Germany, , , , , , , , , , 
Luurila,  Maija, 133, 159.11, , , FIN, Finland, , , , , , , , , , 
Sano,  Kokomi, 134, 157.84, , , JPN, Japan, , , , , , , , , , 
Duchow,  Ellie, 135, 154.32, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 136, 152.95, , , CHN, China, , , , , , , , , , 
Salgueira,  Luan, 137, 152.14, , 19, FRA, France, , , , , , , , , , 
Fillion,  Oceane, 138, 151.99, , 22, CAN, Canada, , , , , , , , , , 
Flynn,  Rebecca, 139, 149.83, , , USA, United States, , , , , , , , , , 
Salis,  Andrina, 140, 149.63, , , SUI, Switzerland, , , , , , , , , , 
Jaakkola,  Milja, 141, 149.38, , , FIN, Finland, , , , , , , , , , 
Kvamme,  Jenny, 142, 149.07, , , NOR, Norway, , , , , , , , , , 
Kostenko,  Elena, 143, 146.73, Spy | VR Boardwear | , 25, RUS, Russian Federation, Goofy, , Sankt-Peterburg, , , , , , , 
Suzuki,  Momo, 144, 146.55, , , JPN, Japan, , , , , , , , , , 
Loginova,  Anastasiia, 145, 144.62, , , RUS, Russian Federation, , , , , , , , , , 
Zung,  Kiara, 146, 144.07, , , AUT, Austria, , , , , , , , , , 
Kimura,  Ryo, 147, 142.75, , , JPN, Japan, , , , , , , , , , 
Kulik,  Kristyna Leony, 148, 140.8, , , CZE, Czech Republic, , , , , , , , , , 
Maeda,  Suzuha, 149, 140.72, , , JPN, Japan, , , , , , , , , , 
Sarkipaju,  Telma, 150, 140.49, , , FIN, Finland, , , , , , , , , , 
Ren,  Ziyan, 101, 197.23, , , CHN, China, , , , , , , , , , 
Fukada,  Mari, 102, 195.3, , , JPN, Japan, , , , , , , , , , 
Hyatt,  Kianah, 103, 195.05, , 18, CAN, Canada, , , , , , , , , , 
Hendrix,  Barrett, 104, 194.53, , , USA, United States, , , , , , , , , , 
Guo,  Junyan, 105, 194.11, , , CHN, China, , , , , , , , , , 
Equy,  Noemie, 106, 192.98, , , FRA, France, , , , , , , , , , 
Williams ,  Darcy-Jane, 107, 192.13, , , GBR, United Kingdom, , , , , , , , , , 
Cowan,  Lola, 108, 191.29, , , USA, United States, , , , , , , , , , 
Tomanova,  Anna, 109, 190.93, , , CZE, Czech Republic, , , , , , , , , , 
Suitiala,  Ella, 110, 188.85,  | , 31, FIN, Finland, Regular, , Rovaniemi, , , , , , , 
Steeg,  Philippa, 111, 187.25, , , GER, Germany, , , , , , , , , , 
Yoshida,  Remi, 112, 187.01, , , JPN, Japan, , , , , , , , , , 
Colsters,  Shania, 113, 186.69, , , NED, NED, , , , , , , , , , 
Lane Hopkins,  Luca Mai, 114, 185.99, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, United Kingdom, Regular, , , , , , , , , 
Poluzzi,  Marilu, 115, 184.41, , , ITA, Italy, , , , , , , , , , 
Kolodziej,  Shirly, 116, 182.85, , , SUI, Switzerland, , , , , , , , , , 
Raisanen,  Ida, 117, 182.75, , , FIN, Finland, , , , , , , , , , 
Yanez,  Antonia, 118, 179.81, , 21, CHI, CHI, , , , , , , , , , 
Lehtinen,  Sini, 119, 179.33, , 20, FIN, Finland, , , , , , , , , , 
Zvadova,  Viktorie, 120, 178.28, , , CZE, Czech Republic, , , , , , , , , , 
Holzfeind,  Kristina, 121, 173.99, , , AUT, Austria, , , , , , , , , , 
Van Vreden,  Romy, 122, 173.89, , , NED, NED, , , , , , , , , , 
Espeli Olsen,  Kamilla, 123, 172.12, , , NOR, Norway, , , , , , , , , , 
Napess,  Lounah, 124, 169.35, , , CAN, Canada, , , , , , , , , , 
Bogdanova,  Elizaveta, 125, 169.24, , , RUS, Russian Federation, , , , , , , , , , 
Pribosic,  Urska, 126, 167.8, Amplifi | Flow | , 30, SLO, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , , , 
Kashevnik,  Nika, 127, 166.85, , , RUS, Russian Federation, , , , , , , , , , 
Derminio,  Lauren, 128, 166.37, , , USA, United States, , , , , , , , , , 
Stepanova,  Eseniya, 129, 161.89, , , RUS, Russian Federation, , , , , , , , , , 
Morii,  Kiara, 130, 161.07, , , JPN, Japan, , , , , , , , , , 
Norman,  Hahna, 131, 161.06, , , USA, United States, , , , , , , , , , 
Stroh,  Karolina, 132, 159.45, , , GER, Germany, , , , , , , , , , 
Luurila,  Maija, 133, 159.11, , , FIN, Finland, , , , , , , , , , 
Sano,  Kokomi, 134, 157.84, , , JPN, Japan, , , , , , , , , , 
Duchow,  Ellie, 135, 154.32, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 136, 152.95, , , CHN, China, , , , , , , , , , 
Salgueira,  Luan, 137, 152.14, , 19, FRA, France, , , , , , , , , , 
Fillion,  Oceane, 138, 151.99, , 22, CAN, Canada, , , , , , , , , , 
Flynn,  Rebecca, 139, 149.83, , , USA, United States, , , , , , , , , , 
Salis,  Andrina, 140, 149.63, , , SUI, Switzerland, , , , , , , , , , 
Jaakkola,  Milja, 141, 149.38, , , FIN, Finland, , , , , , , , , , 
Kvamme,  Jenny, 142, 149.07, , , NOR, Norway, , , , , , , , , , 
Kostenko,  Elena, 143, 146.73, Spy | VR Boardwear | , 25, RUS, Russian Federation, Goofy, , Sankt-Peterburg, , , , , , , 
Suzuki,  Momo, 144, 146.55, , , JPN, Japan, , , , , , , , , , 
Loginova,  Anastasiia, 145, 144.62, , , RUS, Russian Federation, , , , , , , , , , 
Zung,  Kiara, 146, 144.07, , , AUT, Austria, , , , , , , , , , 
Kimura,  Ryo, 147, 142.75, , , JPN, Japan, , , , , , , , , , 
Kulik,  Kristyna Leony, 148, 140.8, , , CZE, Czech Republic, , , , , , , , , , 
Maeda,  Suzuha, 149, 140.72, , , JPN, Japan, , , , , , , , , , 
Sarkipaju,  Telma, 150, 140.49, , , FIN, Finland, , , , , , , , , , 
Ren,  Ziyan, 101, 197.23, , , CHN, China, , , , , , , , , , 
Fukada,  Mari, 102, 195.3, , , JPN, Japan, , , , , , , , , , 
Hyatt,  Kianah, 103, 195.05, , 18, CAN, Canada, , , , , , , , , , 
Hendrix,  Barrett, 104, 194.53, , , USA, United States, , , , , , , , , , 
Guo,  Junyan, 105, 194.11, , , CHN, China, , , , , , , , , , 
Equy,  Noemie, 106, 192.98, , , FRA, France, , , , , , , , , , 
Williams ,  Darcy-Jane, 107, 192.13, , , GBR, United Kingdom, , , , , , , , , , 
Cowan,  Lola, 108, 191.29, , , USA, United States, , , , , , , , , , 
Tomanova,  Anna, 109, 190.93, , , CZE, Czech Republic, , , , , , , , , , 
Suitiala,  Ella, 110, 188.85,  | , 31, FIN, Finland, Regular, , Rovaniemi, , , , , , , 
Steeg,  Philippa, 111, 187.25, , , GER, Germany, , , , , , , , , , 
Yoshida,  Remi, 112, 187.01, , , JPN, Japan, , , , , , , , , , 
Colsters,  Shania, 113, 186.69, , , NED, NED, , , , , , , , , , 
Lane Hopkins,  Luca Mai, 114, 185.99, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, United Kingdom, Regular, , , , , , , , , 
Poluzzi,  Marilu, 115, 184.41, , , ITA, Italy, , , , , , , , , , 
Kolodziej,  Shirly, 116, 182.85, , , SUI, Switzerland, , , , , , , , , , 
Raisanen,  Ida, 117, 182.75, , , FIN, Finland, , , , , , , , , , 
Yanez,  Antonia, 118, 179.81, , 21, CHI, CHI, , , , , , , , , , 
Lehtinen,  Sini, 119, 179.33, , 20, FIN, Finland, , , , , , , , , , 
Zvadova,  Viktorie, 120, 178.28, , , CZE, Czech Republic, , , , , , , , , , 
Holzfeind,  Kristina, 121, 173.99, , , AUT, Austria, , , , , , , , , , 
Van Vreden,  Romy, 122, 173.89, , , NED, NED, , , , , , , , , , 
Espeli Olsen,  Kamilla, 123, 172.12, , , NOR, Norway, , , , , , , , , , 
Napess,  Lounah, 124, 169.35, , , CAN, Canada, , , , , , , , , , 
Bogdanova,  Elizaveta, 125, 169.24, , , RUS, Russian Federation, , , , , , , , , , 
Pribosic,  Urska, 126, 167.8, Amplifi | Flow | , 30, SLO, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , , , 
Kashevnik,  Nika, 127, 166.85, , , RUS, Russian Federation, , , , , , , , , , 
Derminio,  Lauren, 128, 166.37, , , USA, United States, , , , , , , , , , 
Stepanova,  Eseniya, 129, 161.89, , , RUS, Russian Federation, , , , , , , , , , 
Morii,  Kiara, 130, 161.07, , , JPN, Japan, , , , , , , , , , 
Norman,  Hahna, 131, 161.06, , , USA, United States, , , , , , , , , , 
Stroh,  Karolina, 132, 159.45, , , GER, Germany, , , , , , , , , , 
Luurila,  Maija, 133, 159.11, , , FIN, Finland, , , , , , , , , , 
Sano,  Kokomi, 134, 157.84, , , JPN, Japan, , , , , , , , , , 
Duchow,  Ellie, 135, 154.32, , , USA, United States, , , , , , , , , , 
Li,  Dongyu, 136, 152.95, , , CHN, China, , , , , , , , , , 
Salgueira,  Luan, 137, 152.14, , 19, FRA, France, , , , , , , , , , 
Fillion,  Oceane, 138, 151.99, , 22, CAN, Canada, , , , , , , , , , 
Flynn,  Rebecca, 139, 149.83, , , USA, United States, , , , , , , , , , 
Salis,  Andrina, 140, 149.63, , , SUI, Switzerland, , , , , , , , , , 
Jaakkola,  Milja, 141, 149.38, , , FIN, Finland, , , , , , , , , , 
Kvamme,  Jenny, 142, 149.07, , , NOR, Norway, , , , , , , , , , 
Kostenko,  Elena, 143, 146.73, Spy | VR Boardwear | , 25, RUS, Russian Federation, Goofy, , Sankt-Peterburg, , , , , , , 
Suzuki,  Momo, 144, 146.55, , , JPN, Japan, , , , , , , , , , 
Loginova,  Anastasiia, 145, 144.62, , , RUS, Russian Federation, , , , , , , , , , 
Zung,  Kiara, 146, 144.07, , , AUT, Austria, , , , , , , , , , 
Kimura,  Ryo, 147, 142.75, , , JPN, Japan, , , , , , , , , , 
Kulik,  Kristyna Leony, 148, 140.8, , , CZE, Czech Republic, , , , , , , , , , 
Maeda,  Suzuha, 149, 140.72, , , JPN, Japan, , , , , , , , , , 
Sarkipaju,  Telma, 150, 140.49, , , FIN, Finland, , , , , , , , , , 
Dowley,  Eve, 151, 138.45, , , AUS, Australia, , , , , , , , , , 
Birkkjaer,  Bailey, 152, 137.84, , 23, CAN, Canada, , , , , , , , , , 
Jugovac,  Lea, 153, 135.26, , 25, CRO, CRO, Regular, , , , , , , , , 
Gale,  Madison, 154, 134.42, , 18, CAN, Canada, Regular, , , , , , , , , 
Tmusic,  Katarina, 155, 133.33, , , SRB, Serbia, , , , , , , , , , 
Zvadova,  Sara, 156, 130.63, , , CZE, Czech Republic, , , , , , , , , , 
Araya,  Rino, 157, 128.48, , , JPN, Japan, , , , , , , , , , 
Zhai,  Yue, 158, 127.53, , , CHN, China, , , , , , , , , , 
Komuro,  Yuna, 159, 125.95, , 19, JPN, Japan, , , , , , , , , , 
Harinen,  Ada, 160, 125.47, , , FIN, Finland, , , , , , , , , , 
Cook,  Ava, 161, 125.18, , , CAN, Canada, , , , , , , , , , 
Ignjatov,  Jelena, 162, 124.7, , 25, SRB, Serbia, , , , , , , , , , 
Grempel,  Mia, 163, 122.66, , , GER, Germany, , , , , , , , , , 
Aizawa,  Mao, 164, 121.61, , , JPN, Japan, , , , , , , , , , 
Cospolich,  Alina, 165, 121.5, Bern Unlimited | , 15, USA, United States, , , , , , , , , , 
Evensen,  Emilie, 166, 121.08, Bataleon | Rip Curl | , 33, NOR, Norway, Regular, , Oslo, Varingskollen| Norway, www.ripcurl.com, , , , , 
Plur De La Rosa,  Lucia, 167, 120.94, , 15, GER, Germany, , , , , , , , , , 
Zhang,  Tong, 168, 120.89, , , CHN, China, , , , , , , , , , 
Hjalland,  Tina, 169, 119.26, , , NOR, Norway, , , , , , , , , , 
Phillips,  Molly, 170, 116.7, , , FRA, France, , , , , , , , , , 
Bakke,  Emma, 171, 115.79, , , NOR, Norway, , , , , , , , , , 
Maheux,  Emeraude, 172, 115.16, , , CAN, Canada, , , , , , , , , , 
Burri,  Ariane, 173, 114.63,  | , 20, SUI, Switzerland, Goofy, , Eschenbach Lu, , , , , , , 
Walker,  Jenna, 174, 113.76, , , CAN, Canada, , , , , , , , , , 
Rue,  Thea Christine, 175, 112.96, , , NOR, Norway, , , , , , , , , , 
Chen,  Alexandra, 176, 111.5, , , AUS, Australia, , , , , , , , , , 
Loetscher,  Isabelle, 177, 108.51, , , SUI, Switzerland, , , , , , , , , , 
Lora,  Anna, 178, 105.75, , 26, AUT, Austria, Regular, , , , , , , , , 
Kristiansen Rue,  Andrea, 179, 105.52, , , NOR, Norway, , , , , , , , , , 
Mauro,  Bella, 180, 105.03, , , USA, United States, , , , , , , , , , 
Kato,  Imari, 181, 104.26, , , JPN, Japan, , , , , , , , , , 
Nastic,  Nicole, 182, 102.33, , , CRO, CRO, , , , , , , , , , 
Zaradna,  Paulina, 183, 101.67, , , POL, Poland, , , , , , , , , , 
MacIejewska,  Martyna, 184, 100.92, , , POL, Poland, , , , , , , , , , 
Johansen,  Hege, 185, 100.77, , , NOR, Norway, , , , , , , , , , 
Klacar,  Asja, 186, 100.0, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Cornell,  Nora, 186, 100.0, , , ESP, Spain, , , , , , , , , , 
Geremia,  Felicity, 188, 99.6, , , CAN, Canada, , , , , , , , , , 
Benneker,  Olivia, 189, 97.27, , , SUI, Switzerland, , , , , , , , , , 
Elvy,  Sascha, 190, 96.65, , , AUS, Australia, , , , , , , , , , 
Sakakibara,  Niina, 191, 95.85, , , JPN, Japan, , , , , , , , , , 
