lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Gerard,  Redmond, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, United States, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , 
Kleveland,  Marcus, 42, 412.1,  | , 21, NOR, Norway, Goofy, 172, DombÅs, Dombås Skiheiser, instagram.com/marcuskleveland, https://www.facebook.com/MarcusKleveland/, , , , 
Rowe,  Storm, 43, 409.57, , 20, USA, United States, Regular, , , Mt Snow| VT, , , , , , 
Jarvis,  Carter, 44, 408.75, Analog | Burton Snowboards | , 21, CAN, Canada, Regular, 5ft.9in., Calgary, Whistler Blackcomb, Instagram.com/carterjarviss, , , , , 
Lauzi,  Emiliano, 45, 405.2, Drake | Northwave | Picture | Santa Cruz | , 26, ITA, Italy, Goofy, , Milano, , , , , , , 
Kirkhus,  Oyvind, 46, 400.0, , , NOR, Norway, , , , , , , , , , 
Vicktor,  Noah, 47, 399.56, Hae | Level | Salomon | Smith | SVD | , 19, GER, Germany, Goofy, , , , , , , , , 
Finn,  Finestone, 48, 398.63, , , CAN, Canada, , , , , , , , , , 
Hasegawa,  Taiga, 49, 397.63, , , JPN, Japan, , , , , , , , , , 
Rehnberg,  Mikko, 50, 396.17, Ride Snowboards | , 23, FIN, Finland, Regular, , Kuopio, , , , , , , 
Jarvilehto,  Kalle, 51, 394.44, Iso-Syöte Snowpark | , 25, FIN, Finland, Regular, 181 cm, Espoo, Iso-Syöte| Finland, www.instagram.com/kallejarvilehto/, www.facebook.com/kallejarvilehtofficial/, , , , 
Canter,  Jake, 52, 381.19, , 17, USA, United States, , , Evergreen, , , , , , , 
Ulstein,  Isak, 53, 380.49, Anon Optics | Burton Snowboards | , 22, NOR, Norway, Regular, 1|79 cm, Royken, Oslo Vinterpark and Kirkerud, Isak Ulstein at Instagram, Isak Ulstein, , , , 
Tveiten,  Sindre, 54, 376.33, , 22, NOR, Norway, Goofy, 190, , Hovden, , Sindre Tveiten, , , , 
Framarin,  Loris, 55, 375.94, , 22, ITA, Italy, , , , , , , , , , 
Cox,  Matthew, 56, 369.13, , 22, AUS, Australia, Regular, 5.11ft., Stanwell Park, Perisher Blue, , , , , , 
MacDougall,  Jack, 57, 365.42, , , CAN, Canada, Regular, 5ft.6in., , Nitehawk, , , , , , 
Stassel,  Ryan, 58, 358.24, Bolle | US Snowboarding | , 28, USA, United States, Regular, 5ft. 11in., Anchorage, Alyeska Resort and Boreal, @RyanStassel, www.facebook.com/RyanStassel, , , , 
Millauer,  Clemens, 59, 358.19, Absolut Park | Anon Optics | Burton Snowboards | , 25, AUT, Austria, Regular, , Molln, , , , , , , 
Taklo,  Johannes, 60, 354.87, , , NOR, Norway, , , , , , , , , , 
Watanabe,  Rikuto, 61, 354.67, , , JPN, Japan, , , , , , , , , , 
Smith,  Truth, 62, 353.26, , 16, CAN, Canada, , , , , , , , , , 
Modesti,  Michael, 63, 350.35, , 19, CAN, Canada, , , , , , , , , , 
Gill,  Liam, 64, 348.18, , 17, CAN, Canada, , , , , , , , , , 
McCormick,  Matt, 65, 345.89, Salomon | TSA | , 23, GBR, United Kingdom, Regular, , Glasgow, , , , , , , 
Yamada,  Yuto, 66, 343.37, , , JPN, Japan, , , , , , , , , , 
Parrot,  Max, 67, 341.23, Monster Energy | Nobaday | , 26, CAN, Canada, Goofy, 5ft.11, Bromont, Bromont, www.instagram.com/maxparrot, www.facebook.com/MaxenceParrot, www.twitter.com/MaxParrot, , , 
Comeau,  Lucas, 68, 341.15, , 18, CAN, Canada, Goofy, , Calgary, Canada Olympic Park| Calgary, instagram.com/lucascomeau_, , , , , 
Eckhoff,  Mathias, 69, 340.74, Dragon | , 21, NOR, Norway, Regular, 176 cm, Østerås, Tryvann, , Mathias Eckhoff, , , , 
Otsuka,  Takeru, 70, 340.14, Burton Snowboards | , 19, JPN, Japan, , , Atsugi, , , , , , , 
Laframboise,  Nicolas, 71, 340.08, , , CAN, Canada, , , , , , , , , , 
Goulet,  Hunter, 72, 338.39, Burton Snowboards | , 16, USA, United States, Goofy, 5ft.8, , Park City, instagram@huntergoulet, , , , , 
Demchuck,  Keenan, 73, 334.1, , , CAN, Canada, , , , , , , , , , 
Vilhelmsson,  Baldur, 74, 332.27, , , ISL, Iceland, , , , , , , , , , 
Toutant,  Sebastien, 75, 331.97, O'Neill | Red Bull | Ride Snowboards | , 28, CAN, Canada, Goofy, 5ft.6in., Repentigny, Val St-Come, , , , , , 
Davern,  Mitchell, 76, 328.89, , 18, NZL, New Zealand, , , Auckland, , , , , , , 
Wolf,  Casper, 77, 328.04, Protest | Salomon | , 19, NED, NED, , , , , , , , , , 
Fricz,  Botond Istvan, 78, 323.46, , 19, HUN, Hungary, , , , , , , , , , 
Vockensperger,  Leon, 79, 322.55, Anon Optics | Burton Snowboards | , 21, GER, Germany, Regular, 1|80 m, , , https://www.instagram.com/leonvockensperger/, https://m.facebook.com/Leon-Vockensperger-124671481205598/, , , , 
Mathisen,  William, 80, 322.33, , , SWE, Sweden, , , , , , , , , , 
Garcia Knight,  Carlos, 81, 312.1, Burton Snowboards | Mons Royale | , 23, NZL, New Zealand, Regular, 5ft.10, Christchurch, Cardrona Alpine Resort, instagram.com/carlosgk, https://www.facebook.com/CarlosGarciaKnight, www.twitter.com/carlosgk_, , , 
Izzard,  William, 82, 312.04, , , CAN, Canada, , , , , , , , , , 
Laesser,  Martin, 83, 310.15, , 22, SUI, Switzerland, , , , , , , , , , 
Menzies,  Dane, 84, 309.56, , 15, CAN, Canada, , , , , , , , , , 
Stevens,  Liam, 85, 308.7, , 23, CAN, Canada, , , , , , , , , , 
Koven,  Sam, 86, 304.01, , 19, CAN, Canada, , , , , , , , , , 
Matveev,  Mikhail, 87, 300.9, , 24, RUS, Russian Federation, Goofy, , , , , https://www.facebook.com/misha.matveev.940, , , , 
Guetl,  Leon, 88, 300.0, , 19, GER, Germany, , , , , , , , , , 
Vandeweyer,  Stef, 89, 299.3, Dakine | TSG | 686 | , 21, BEL, Belgium, Goofy, , Meerhout, , , , , , , 
Lee,  Minsik, 90, 296.68, Burton Snowboards | , 20, KOR, Korea, Republic of, Regular, 168cm, Kyounggi-Do, , , , , , , 
Schaerer,  Michael, 91, 296.61,  | , 23, SUI, Switzerland, Regular, 185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , , , 
Skjomming,  Kristian, 92, 295.96, , , NOR, Norway, , , , , , , , , , 
Healy,  Will, 93, 292.22, Burton Snowboards | Giro | , 18, USA, United States, Regular, , , , , , , , , 
Massitti,  Mateo, 94, 291.78, , 19, CAN, Canada, Goofy, , , , , , , , , 
Hrones,  Jakub, 95, 290.97, , , CZE, Czech Republic, , , , , , , , , , 
Jaros,  Samuel, 96, 289.28, , , SVK, Slovakia, , , , , , , , , , 
Groterud,  Magnus, 97, 288.04, , , NOR, Norway, , , , , , , , , , 
Frijns,  Joewen, 98, 287.32, , , BEL, Belgium, , , , , , , , , , 
Adams,  Gabriel, 99, 285.49, Endeavor | , 17, GBR, United Kingdom, Goofy, , , , , , , , , 
Otsubo,  Shuzaburo, 100, 283.11, , 16, JPN, Japan, , , , , , , , , , 
Kristjansson,  Marino, 101, 281.04, , 19, ISL, Iceland, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , , , 
Lecroy,  Kolman, 102, 280.71, , , USA, United States, , , , , , , , , , 
Katko,  Grey, 103, 280.32, , , USA, United States, , , , , , , , , , 
Kautonen,  Valtteri, 104, 279.3, , , FIN, Finland, , , , , , , , , , 
Vik,  Sebastian, 105, 267.4, , , NOR, Norway, , , , , , , , , , 
De Sloover,  Jules, 106, 267.3, , , BEL, Belgium, , , , , , , , , , 
Fitzgerald,  Tj, 107, 267.18, , 19, USA, United States, Regular, , Stratton, Stratton VT, , , , , , 
Ogiwara,  Hiroto, 108, 267.04, , , JPN, Japan, , , , , , , , , , 
Inamura,  Keita, 109, 266.67, , 23, JPN, Japan, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , , , 
Nevakivi,  Aleksi, 110, 265.13,  | , 21, FIN, Finland, Goofy, , , , , , , , , 
Olimstad,  Markus, 111, 262.52, , 26, NOR, Norway, Goofy, , Aamli, , , , , , , 
BARTET,  Titouan, 112, 261.89,  | , 20, FRA, France, Regular, , Laval, , , , , , , 
Lewis,  Tyson, 113, 260.63, , 14, CAN, Canada, , , , , , , , , , 
Ethier,  Louis, 114, 259.96, , , CAN, Canada, , , , , , , , , , 
Groeneveld,  Kai, 115, 259.13, , 16, NED, NED, Regular, , , , , , , , , 
Rohrt,  Odin, 116, 258.41, , 15, NOR, Norway, Goofy, , , , , , , , , 
Okubo,  Yuri, 117, 255.17, , 20, JPN, Japan, , , Sappro-Shi?hokkaido, , , , , , , 
Weaver,  Lane, 118, 252.7, , 17, CAN, Canada, , , , , , , , , , 
Johnson,  Liam, 119, 251.65, , , USA, United States, , , , , , , , , , 
Boggio,  Davide, 120, 251.13, , 21, ITA, Italy, , , , , , , , , , 
Hofmann,  Patrick, 121, 250.78,  | , 19, SUI, Switzerland, Goofy, , , , patrick.notizia.ch/, , , , , 
Denham,  Jake, 122, 248.72, , , USA, United States, , , , , , , , , , 
Junker,  Jonas, 123, 248.13, , 20, SUI, Switzerland, Goofy, , , , , , , , , 
Fridbjornsson,  Benedikt, 124, 247.67, Red Bull | Union Bindings | , 16, ISL, Iceland, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, , , 
Ohashi,  Rikuto, 125, 246.27, , 18, JPN, Japan, Goofy, , Sapporo, , , , , , , 
Traasdahl Fornes,  Anders, 126, 245.71, , , NOR, Norway, , , , , , , , , , 
Su,  Yiming, 127, 243.02, , , CHN, China, , , , , , , , , , 
Yamase,  Kensho, 128, 242.95, , , JPN, Japan, , , , , , , , , , 
Frischhut,  Lukas, 129, 241.01, , , AUT, Austria, , , , , , , , , , 
Aizawa,  Ryo, 130, 240.74, , , JPN, Japan, , , , , , , , , , 
Yanez,  Alvaro, 131, 239.17, , 18, CHI, CHI, , , , , , , , , , 
Kirkevoll,  Embrik, 132, 238.92, , , NOR, Norway, , , , , , , , , , 
Vermaat,  Sam, 133, 238.87, , , NED, NED, , , , , , , , , , 
Bergman,  Joonas, 134, 238.83, , 20, FIN, Finland, , , , , , , , , , 
Aragon,  Jose Antonio, 135, 238.76, , , ESP, Spain, , , , , , , , , , 
Konijnenberg,  Sebastien, 136, 237.4, Rip Curl | Salomon | , 23, FRA, France, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , , , 
Giblin,  Parker, 137, 236.94, , , USA, United States, , , , , , , , , , 
Mekinc,  Naj, 138, 236.93, , , SLO, SLO, , , , , , , , , , 
Miller,  Nicholas, 139, 236.89, , , USA, United States, , , , , , , , , , 
Luckerbauer,  David, 140, 236.84, , 20, AUT, Austria, Goofy, , , , , , , , , 
Van Hoof,  Ilias, 141, 236.59, , 21, BEL, Belgium, , , Kontich, , , , , , , 
Cockrell,  Billy, 142, 235.28, , 21, GBR, United Kingdom, , , Sheffield, , , , , , , 
De Buck,  Sebbe, 143, 234.73, DC | Giro | Monster Energy | Union Bindings | , 25, BEL, Belgium, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , , , 
Nagasawa,  Hayato, 144, 232.05, Fanatic | , 18, JPN, Japan, Regular, , , , , , , , , 
Gauger,  Wendelin, 145, 231.94, , 20, SUI, Switzerland, Regular, 187, Schwyz, Mythepark, , , , , , 
Valax,  Enzo, 146, 231.26, , 20, FRA, France, , , , , , , , , , 
Ogasawara,  Senan, 147, 228.68, , , JPN, Japan, , , , , , , , , , 
Tsuji,  Hinata, 148, 227.8, , , JPN, Japan, , , , , , , , , , 
Mather,  Samuel, 149, 227.3, , , CAN, Canada, , , , , , , , , , 
McDermott,  Eli, 150, 226.97, , , USA, United States, , , , , , , , , , 
Williams,  Max, 151, 226.42, , , USA, United States, , , , , , , , , , 
Klebe-Mcculloch,  Dashiell, 152, 224.69, , , CAN, Canada, , , , , , , , , , 
Lee,  Chaeun, 153, 224.56, , , KOR, Korea, Republic of, , , , , , , , , , 
Fujiya,  Ryoji, 154, 222.39, , , JPN, Japan, , , , , , , , , , 
Smith,  Ethan, 155, 221.54, Never Summer | , 17, GBR, United Kingdom, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , 
Nicholson,  Tyler, 156, 221.54, Lib Technologies | Rockstar | Under Armour | , 25, CAN, Canada, Regular, , North Bay, , , , , , , 
Boll,  Moritz, 157, 221.13,  | , 20, SUI, Switzerland, , , , , , , , , , 
Machtans,  Ben, 158, 220.9, , , CAN, Canada, , , , , , , , , , 
Koenen,  Fynn, 159, 219.77, , , GER, Germany, , , , , , , , , , 
Vaisanen,  Emppu, 160, 217.88, , , FIN, Finland, , , , , , , , , , 
Rovensky,  Jan, 161, 217.5, , , CZE, Czech Republic, , , , , , , , , , 
Lenchevskiy,  Yaroslav, 162, 216.08, , , RUS, Russian Federation, , , , , , , , , , 
Wega,  Carter, 163, 215.36, , , CAN, Canada, , , , , , , , , , 
Atno,  Alex, 164, 214.6, , , USA, United States, , , , , , , , , , 
Moon,  Jaxson, 165, 214.16, , , USA, United States, , , , , , , , , , 
Larochaix,  Noe, 166, 213.69, , , FRA, France, Regular, , , , , , , , , 
Breu,  Moritz, 167, 213.54, , 17, GER, Germany, Goofy, , , , , , , , , 
Kaufmann,  Moritz, 168, 213.31, , 20, AUT, Austria, , , , , , , , , , 
Ferry,  Lucas, 169, 212.97, , , USA, United States, , , , , , , , , , 
Lotorto,  Alessandro Marco, 170, 211.44, , , SUI, Switzerland, , , , , , , , , , 
Riddell,  Evan, 171, 211.2, , 16, CAN, Canada, , , , , , , , , , 
Milenkovic,  Matija, 172, 211.04, , 19, SRB, Serbia, , , , , , , , , , 
Chomlack,  Caleb, 173, 211.01, , 16, CAN, Canada, , , , , , , , , , 
Sanzhapov,  Serhii, 174, 210.48, , 15, UKR, Ukraine, Regular, , Kiev, , , , , , , 
Miskiman,  Sean, 175, 210.05, , 20, CAN, Canada, Regular, , Calgary, , , , , , , 
Christensson,  Conner, 176, 208.85, , 18, CAN, Canada, , , , , , , , , , 
Vallieres,  Tyler, 177, 208.6, , , USA, United States, , , , , , , , , , 
Puenter,  Nick, 178, 208.59, Head | TSG | Zimtstern | , 18, SUI, Switzerland, Goofy, , Staefa, , , , , , , 
Lundstroem,  Gustaf, 179, 208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, Sweden, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , , , 
Strohmeyer,  Till, 180, 203.74, , 18, AUT, Austria, , , Kiefersfelden, , , , , , , 
Krauskopf,  Tosh, 181, 203.33, , 15, CAN, Canada, , , , , , , , , , 
Smelov,  Aleksandr, 182, 203.11,  | , 24, RUS, Russian Federation, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , , , 
Moretti,  Sacha, 183, 203.04, igwis | Quiksilver | Waxx | , 22, FRA, France, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , , , 
Mork Danielsen,  Sander, 184, 202.75, , , NOR, Norway, , , , , , , , , , 
Blake,  Wyatt, 185, 202.01, , , USA, United States, , , , , , , , , , 
Kudo,  Yamato, 186, 200.95, , , JPN, Japan, , , , , , , , , , 
Tongko,  Adrian Lee, 187, 200.07, Salomon | , 24, PHI, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , , , 
Miyamura,  Yuto, 188, 199.89, , , JPN, Japan, , , , , , , , , , 
Fuser,  Elia Manuel, 189, 199.64, , , ITA, Italy, , , , , , , , , , 
Kallo,  Sami, 190, 199.23, , , FIN, Finland, , , , , , , , , , 
Teixeira,  Augustinho, 191, 198.57, , , BRA, Brazil, , , , , , , , , , 
Kaku,  Shusei, 192, 198.25, , , JPN, Japan, , , , , , , , , , 
Gray,  Nathan, 193, 196.45, , 19, FRA, France, , , St Martin De Belleville, , , , , , , 
Maffei,  Alberto, 194, 195.8,  | , 25, ITA, Italy, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , , , 
Suzuki,  Atsuhiro, 195, 195.47, , , JPN, Japan, , , , , , , , , , 
Denda,  Jeremy, 196, 194.94, , , SUI, Switzerland, , , , , , , , , , 
Stang,  Karis, 197, 193.36, , , USA, United States, , , , , , , , , , 
Brcic,  Dante, 198, 192.27, , , CRO, CRO, , , , , , , , , , 
Thelen,  Axel, 199, 191.99, Voelkl | , 22, FIN, Finland, Regular, , Helsinki, , , , , , , 
Vo,  Ryan, 200, 190.19, , , CAN, Canada, , , , , , , , , , 
Williams,  Max, 151, 226.42, , , USA, United States, , , , , , , , , , 
Klebe-Mcculloch,  Dashiell, 152, 224.69, , , CAN, Canada, , , , , , , , , , 
Lee,  Chaeun, 153, 224.56, , , KOR, Korea, Republic of, , , , , , , , , , 
Fujiya,  Ryoji, 154, 222.39, , , JPN, Japan, , , , , , , , , , 
Smith,  Ethan, 155, 221.54, Never Summer | , 17, GBR, United Kingdom, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , 
Nicholson,  Tyler, 156, 221.54, Lib Technologies | Rockstar | Under Armour | , 25, CAN, Canada, Regular, , North Bay, , , , , , , 
Boll,  Moritz, 157, 221.13,  | , 20, SUI, Switzerland, , , , , , , , , , 
Machtans,  Ben, 158, 220.9, , , CAN, Canada, , , , , , , , , , 
Koenen,  Fynn, 159, 219.77, , , GER, Germany, , , , , , , , , , 
Vaisanen,  Emppu, 160, 217.88, , , FIN, Finland, , , , , , , , , , 
Rovensky,  Jan, 161, 217.5, , , CZE, Czech Republic, , , , , , , , , , 
Lenchevskiy,  Yaroslav, 162, 216.08, , , RUS, Russian Federation, , , , , , , , , , 
Wega,  Carter, 163, 215.36, , , CAN, Canada, , , , , , , , , , 
Atno,  Alex, 164, 214.6, , , USA, United States, , , , , , , , , , 
Moon,  Jaxson, 165, 214.16, , , USA, United States, , , , , , , , , , 
Larochaix,  Noe, 166, 213.69, , , FRA, France, Regular, , , , , , , , , 
Breu,  Moritz, 167, 213.54, , 17, GER, Germany, Goofy, , , , , , , , , 
Kaufmann,  Moritz, 168, 213.31, , 20, AUT, Austria, , , , , , , , , , 
Ferry,  Lucas, 169, 212.97, , , USA, United States, , , , , , , , , , 
Lotorto,  Alessandro Marco, 170, 211.44, , , SUI, Switzerland, , , , , , , , , , 
Riddell,  Evan, 171, 211.2, , 16, CAN, Canada, , , , , , , , , , 
Milenkovic,  Matija, 172, 211.04, , 19, SRB, Serbia, , , , , , , , , , 
Chomlack,  Caleb, 173, 211.01, , 16, CAN, Canada, , , , , , , , , , 
Sanzhapov,  Serhii, 174, 210.48, , 15, UKR, Ukraine, Regular, , Kiev, , , , , , , 
Miskiman,  Sean, 175, 210.05, , 20, CAN, Canada, Regular, , Calgary, , , , , , , 
Christensson,  Conner, 176, 208.85, , 18, CAN, Canada, , , , , , , , , , 
Vallieres,  Tyler, 177, 208.6, , , USA, United States, , , , , , , , , , 
Puenter,  Nick, 178, 208.59, Head | TSG | Zimtstern | , 18, SUI, Switzerland, Goofy, , Staefa, , , , , , , 
Lundstroem,  Gustaf, 179, 208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, Sweden, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , , , 
Strohmeyer,  Till, 180, 203.74, , 18, AUT, Austria, , , Kiefersfelden, , , , , , , 
Krauskopf,  Tosh, 181, 203.33, , 15, CAN, Canada, , , , , , , , , , 
Smelov,  Aleksandr, 182, 203.11,  | , 24, RUS, Russian Federation, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , , , 
Moretti,  Sacha, 183, 203.04, igwis | Quiksilver | Waxx | , 22, FRA, France, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , , , 
Mork Danielsen,  Sander, 184, 202.75, , , NOR, Norway, , , , , , , , , , 
Blake,  Wyatt, 185, 202.01, , , USA, United States, , , , , , , , , , 
Kudo,  Yamato, 186, 200.95, , , JPN, Japan, , , , , , , , , , 
Tongko,  Adrian Lee, 187, 200.07, Salomon | , 24, PHI, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , , , 
Miyamura,  Yuto, 188, 199.89, , , JPN, Japan, , , , , , , , , , 
Fuser,  Elia Manuel, 189, 199.64, , , ITA, Italy, , , , , , , , , , 
Kallo,  Sami, 190, 199.23, , , FIN, Finland, , , , , , , , , , 
Teixeira,  Augustinho, 191, 198.57, , , BRA, Brazil, , , , , , , , , , 
Kaku,  Shusei, 192, 198.25, , , JPN, Japan, , , , , , , , , , 
