Key,lastName,firstName_nospace, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter ,,,,
FitzsimonsSean,Fitzsimons,Sean,  Sean,35,439.77, Dakine | Doug´s Hood River | Gnu | Mt Hood Meadows | Spy | ,20, USA, United States, Regular, 5ft.2in., Hood River, Mt Hood, , https://www.facebook.com/sean.fitzsimons.184?fref=ts, , , , ,
KleivdalStian,Kleivdal,Stian,  Stian,36,438.82, Billabong | Dragon | K2 Snowboarding | ,23, NOR, Norway, Regular,178, Geilo, Geilo, https://www.facebook.com/stianskleivdal/, , , , , ,
JacobLegault,Jacob,Legault,  Legault,37,436.45, , , CAN, Canada, , , , , , , , , , ,
ChomlackJadyn,Chomlack,Jadyn,  Jadyn,38,435.06, ,18, CAN, Canada, , , , , , , , , , ,
BoesigerJonas,Boesiger,Jonas,  Jonas,39,433.71, DC | Hae | Level | Smith | Union Bindings | ,25, SUI, Switzerland, Regular, , Oberarth, , www.jonasboesiger.com, https://www.facebook.com/jonasboesigercom, , , , ,
Bullock-WombleFynn,Bullock-Womble,Fynn,  Fynn,40,433.16, , , USA, United States, , , , , , , , , , ,
JobinFrancis,Jobin,Francis,  Francis,41,422.25, ,22, CAN, Canada, Regular, , , , , , , , , ,
KlevelandMarcus,Kleveland,Marcus,  Marcus,42,412.1,  | ,21, NOR, Norway, Goofy,172, DombÅs, Dombås Skiheiser, instagram.com/marcuskleveland, https://www.facebook.com/MarcusKleveland/, , , , ,
RoweStorm,Rowe,Storm,  Storm,43,409.57, ,20, USA, United States, Regular, , , Mt Snow| VT, , , , , , ,
JarvisCarter,Jarvis,Carter,  Carter,44,408.75, Analog | Burton Snowboards | ,21, CAN, Canada, Regular, 5ft.9in., Calgary, Whistler Blackcomb, Instagram.com/carterjarviss, , , , , ,
LauziEmiliano,Lauzi,Emiliano,  Emiliano,45,405.2, Drake | Northwave | Picture | Santa Cruz | ,26, ITA, Italy, Goofy, , Milano, , , , , , , ,
KirkhusOyvind,Kirkhus,Oyvind,  Oyvind,46,400, , , NOR, Norway, , , , , , , , , , ,
VicktorNoah,Vicktor,Noah,  Noah,47,399.56, Hae | Level | Salomon | Smith | SVD | ,19, GER, Germany, Goofy, , , , , , , , , ,
FinnFinestone,Finn,Finestone,  Finestone,48,398.63, , , CAN, Canada, , , , , , , , , , ,
HasegawaTaiga,Hasegawa,Taiga,  Taiga,49,397.63, , , JPN, Japan, , , , , , , , , , ,
RehnbergMikko,Rehnberg,Mikko,  Mikko,50,396.17, Ride Snowboards | ,23, FIN, Finland, Regular, , Kuopio, , , , , , , ,
JarvilehtoKalle,Jarvilehto,Kalle,  Kalle,51,394.44, Iso-Syöte Snowpark | ,25, FIN, Finland, Regular, 181 cm, Espoo, Iso-Syöte| Finland, www.instagram.com/kallejarvilehto/, www.facebook.com/kallejarvilehtofficial/, , , , ,
CanterJake,Canter,Jake,  Jake,52,381.19, ,17, USA, United States, , , Evergreen, , , , , , , ,
UlsteinIsak,Ulstein,Isak,  Isak,53,380.49, Anon Optics | Burton Snowboards | ,22, NOR, Norway, Regular, 1|79 cm, Royken, Oslo Vinterpark and Kirkerud, Isak Ulstein at Instagram, Isak Ulstein, , , , ,
TveitenSindre,Tveiten,Sindre,  Sindre,54,376.33, ,22, NOR, Norway, Goofy,190, , Hovden, , Sindre Tveiten, , , , ,
FramarinLoris,Framarin,Loris,  Loris,55,375.94, ,22, ITA, Italy, , , , , , , , , , ,
CoxMatthew,Cox,Matthew,  Matthew,56,369.13, ,22, AUS, Australia, Regular, 5.11ft., Stanwell Park, Perisher Blue, , , , , , ,
MacDougallJack,MacDougall,Jack,  Jack,57,365.42, , , CAN, Canada, Regular, 5ft.6in., , Nitehawk, , , , , , ,
StasselRyan,Stassel,Ryan,  Ryan,58,358.24, Bolle | US Snowboarding | ,28, USA, United States, Regular, 5ft. 11in., Anchorage, Alyeska Resort and Boreal, @RyanStassel, www.facebook.com/RyanStassel, , , , ,
MillauerClemens,Millauer,Clemens,  Clemens,59,358.19, Absolut Park | Anon Optics | Burton Snowboards | ,25, AUT, Austria, Regular, , Molln, , , , , , , ,
TakloJohannes,Taklo,Johannes,  Johannes,60,354.87, , , NOR, Norway, , , , , , , , , , ,
WatanabeRikuto,Watanabe,Rikuto,  Rikuto,61,354.67, , , JPN, Japan, , , , , , , , , , ,
SmithTruth,Smith,Truth,  Truth,62,353.26, ,16, CAN, Canada, , , , , , , , , , ,
ModestiMichael,Modesti,Michael,  Michael,63,350.35, ,19, CAN, Canada, , , , , , , , , , ,
GillLiam,Gill,Liam,  Liam,64,348.18, ,17, CAN, Canada, , , , , , , , , , ,
McCormickMatt,McCormick,Matt,  Matt,65,345.89, Salomon | TSA | ,23, GBR, United Kingdom, Regular, , Glasgow, , , , , , , ,
YamadaYuto,Yamada,Yuto,  Yuto,66,343.37, , , JPN, Japan, , , , , , , , , , ,
ParrotMax,Parrot,Max,  Max,67,341.23, Monster Energy | Nobaday | ,26, CAN, Canada, Goofy, 5ft.11, Bromont, Bromont, www.instagram.com/maxparrot, www.facebook.com/MaxenceParrot, www.twitter.com/MaxParrot, , , ,
ComeauLucas,Comeau,Lucas,  Lucas,68,341.15, ,18, CAN, Canada, Goofy, , Calgary, Canada Olympic Park| Calgary, instagram.com/lucascomeau_, , , , , ,
EckhoffMathias,Eckhoff,Mathias,  Mathias,69,340.74, Dragon | ,21, NOR, Norway, Regular, 176 cm, Østerås, Tryvann, , Mathias Eckhoff, , , , ,
OtsukaTakeru,Otsuka,Takeru,  Takeru,70,340.14, Burton Snowboards | ,19, JPN, Japan, , , Atsugi, , , , , , , ,
LaframboiseNicolas,Laframboise,Nicolas,  Nicolas,71,340.08, , , CAN, Canada, , , , , , , , , , ,
GouletHunter,Goulet,Hunter,  Hunter,72,338.39, Burton Snowboards | ,16, USA, United States, Goofy, 5ft.8, , Park City, instagram@huntergoulet, , , , , ,
DemchuckKeenan,Demchuck,Keenan,  Keenan,73,334.1, , , CAN, Canada, , , , , , , , , , ,
VilhelmssonBaldur,Vilhelmsson,Baldur,  Baldur,74,332.27, , , ISL, Iceland, , , , , , , , , , ,
ToutantSebastien,Toutant,Sebastien,  Sebastien,75,331.97, O'Neill | Red Bull | Ride Snowboards | ,27, CAN, Canada, Goofy, 5ft.6in., Repentigny, Val St-Come, , , , , , ,
DavernMitchell,Davern,Mitchell,  Mitchell,76,328.89, ,18, NZL, New Zealand, , , Auckland, , , , , , , ,
WolfCasper,Wolf,Casper,  Casper,77,328.04, Protest | Salomon | ,19, NED, NED, , , , , , , , , , ,
FriczBotond Istvan,Fricz,Botond Istvan,  Botond Istvan,78,323.46, ,19, HUN, Hungary, , , , , , , , , , ,
VockenspergerLeon,Vockensperger,Leon,  Leon,79,322.55, Anon Optics | Burton Snowboards | ,21, GER, Germany, Regular, 1|80 m, , , https://www.instagram.com/leonvockensperger/, https://m.facebook.com/Leon-Vockensperger-124671481205598/, , , , ,
MathisenWilliam,Mathisen,William,  William,80,322.33, , , SWE, Sweden, , , , , , , , , , ,
Garcia KnightCarlos,Garcia Knight,Carlos,  Carlos,81,312.1, Burton Snowboards | Mons Royale | ,23, NZL, New Zealand, Regular, 5ft.10, Christchurch, Cardrona Alpine Resort, instagram.com/carlosgk, https://www.facebook.com/CarlosGarciaKnight, www.twitter.com/carlosgk_, , , ,
IzzardWilliam,Izzard,William,  William,82,312.04, , , CAN, Canada, , , , , , , , , , ,
LaesserMartin,Laesser,Martin,  Martin,83,310.15, ,22, SUI, Switzerland, , , , , , , , , , ,
MenziesDane,Menzies,Dane,  Dane,84,309.56, ,15, CAN, Canada, , , , , , , , , , ,
StevensLiam,Stevens,Liam,  Liam,85,308.7, ,23, CAN, Canada, , , , , , , , , , ,
KovenSam,Koven,Sam,  Sam,86,304.01, ,19, CAN, Canada, , , , , , , , , , ,
MatveevMikhail,Matveev,Mikhail,  Mikhail,87,300.9, ,24, RUS, Russian Federation, Goofy, , , , , https://www.facebook.com/misha.matveev.940, , , , ,
GuetlLeon,Guetl,Leon,  Leon,88,300, ,19, GER, Germany, , , , , , , , , , ,
VandeweyerStef,Vandeweyer,Stef,  Stef,89,299.3, Dakine | TSG | 686 | ,21, BEL, Belgium, Goofy, , Meerhout, , , , , , , ,
LeeMinsik,Lee,Minsik,  Minsik,90,296.68, Burton Snowboards | ,20, KOR, Korea, Republic of, Regular, 168cm, Kyounggi-Do, , , , , , , 
SchaererMichael,Schaerer,Michael,  Michael,91,296.61,  | ,23, SUI, Switzerland, Regular,185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , , , ,
SkjommingKristian,Skjomming,Kristian,  Kristian,92,295.96, , , NOR, Norway, , , , , , , , , , ,
HealyWill,Healy,Will,  Will,93,292.22, Burton Snowboards | Giro | ,18, USA, United States, Regular, , , , , , , , , ,
MassittiMateo,Massitti,Mateo,  Mateo,94,291.78, ,19, CAN, Canada, Goofy, , , , , , , , , ,
HronesJakub,Hrones,Jakub,  Jakub,95,290.97, , , CZE, Czech Republic, , , , , , , , , , ,
JarosSamuel,Jaros,Samuel,  Samuel,96,289.28, , , SVK, Slovakia, , , , , , , , , , ,
GroterudMagnus,Groterud,Magnus,  Magnus,97,288.04, , , NOR, Norway, , , , , , , , , , ,
FrijnsJoewen,Frijns,Joewen,  Joewen,98,287.32, , , BEL, Belgium, , , , , , , , , , ,
AdamsGabriel,Adams,Gabriel,  Gabriel,99,285.49, Endeavor | ,17, GBR, United Kingdom, Goofy, , , , , , , , , ,
OtsuboShuzaburo,Otsubo,Shuzaburo,  Shuzaburo,100,283.11, ,16, JPN, Japan, , , , , , , , , , ,
KristjanssonMarino,Kristjansson,Marino,  Marino,101,281.04, ,19, ISL, Iceland, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , , , ,
LecroyKolman,Lecroy,Kolman,  Kolman,102,280.71, , , USA, United States, , , , , , , , , , ,
KatkoGrey,Katko,Grey,  Grey,103,280.32, , , USA, United States, , , , , , , , , , ,
KautonenValtteri,Kautonen,Valtteri,  Valtteri,104,279.3, , , FIN, Finland, , , , , , , , , , ,
VikSebastian,Vik,Sebastian,  Sebastian,105,267.4, , , NOR, Norway, , , , , , , , , , ,
De SlooverJules,De Sloover,Jules,  Jules,106,267.3, , , BEL, Belgium, , , , , , , , , , ,
FitzgeraldTj,Fitzgerald,Tj,  Tj,107,267.18, ,19, USA, United States, Regular, , Stratton, Stratton VT, , , , , , ,
OgiwaraHiroto,Ogiwara,Hiroto,  Hiroto,108,267.04, , , JPN, Japan, , , , , , , , , , ,
InamuraKeita,Inamura,Keita,  Keita,109,266.67, ,23, JPN, Japan, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , , , ,
NevakiviAleksi,Nevakivi,Aleksi,  Aleksi,110,265.13,  | ,21, FIN, Finland, Goofy, , , , , , , , , ,
OlimstadMarkus,Olimstad,Markus,  Markus,111,262.52, ,26, NOR, Norway, Goofy, , Aamli, , , , , , , ,
BARTETTitouan,BARTET,Titouan,  Titouan,112,261.89,  | ,20, FRA, France, Regular, , Laval, , , , , , , ,
LewisTyson,Lewis,Tyson,  Tyson,113,260.63, ,14, CAN, Canada, , , , , , , , , , ,
EthierLouis,Ethier,Louis,  Louis,114,259.96, , , CAN, Canada, , , , , , , , , , ,
GroeneveldKai,Groeneveld,Kai,  Kai,115,259.13, ,16, NED, NED, Regular, , , , , , , , , ,
RohrtOdin,Rohrt,Odin,  Odin,116,258.41, ,15, NOR, Norway, Goofy, , , , , , , , , ,
OkuboYuri,Okubo,Yuri,  Yuri,117,255.17, ,20, JPN, Japan, , , Sappro-Shi?hokkaido, , , , , , , ,
WeaverLane,Weaver,Lane,  Lane,118,252.7, ,17, CAN, Canada, , , , , , , , , , ,
JohnsonLiam,Johnson,Liam,  Liam,119,251.65, , , USA, United States, , , , , , , , , , ,
BoggioDavide,Boggio,Davide,  Davide,120,251.13, ,21, ITA, Italy, , , , , , , , , , ,
HofmannPatrick,Hofmann,Patrick,  Patrick,121,250.78,  | ,19, SUI, Switzerland, Goofy, , , , patrick.notizia.ch/, , , , , ,
DenhamJake,Denham,Jake,  Jake,122,248.72, , , USA, United States, , , , , , , , , , ,
JunkerJonas,Junker,Jonas,  Jonas,123,248.13, ,20, SUI, Switzerland, Goofy, , , , , , , , , ,
FridbjornssonBenedikt,Fridbjornsson,Benedikt,  Benedikt,124,247.67, Red Bull | Union Bindings | ,16, ISL, Iceland, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, , , ,
OhashiRikuto,Ohashi,Rikuto,  Rikuto,125,246.27, ,18, JPN, Japan, Goofy, , Sapporo, , , , , , , ,
Traasdahl FornesAnders,Traasdahl Fornes,Anders,  Anders,126,245.71, , , NOR, Norway, , , , , , , , , , ,
SuYiming,Su,Yiming,  Yiming,127,243.02, , , CHN, China, , , , , , , , , , ,
YamaseKensho,Yamase,Kensho,  Kensho,128,242.95, , , JPN, Japan, , , , , , , , , , ,
FrischhutLukas,Frischhut,Lukas,  Lukas,129,241.01, , , AUT, Austria, , , , , , , , , , ,
AizawaRyo,Aizawa,Ryo,  Ryo,130,240.74, , , JPN, Japan, , , , , , , , , , ,
YanezAlvaro,Yanez,Alvaro,  Alvaro,131,239.17, ,18, CHI, CHI, , , , , , , , , , ,
KirkevollEmbrik,Kirkevoll,Embrik,  Embrik,132,238.92, , , NOR, Norway, , , , , , , , , , ,
VermaatSam,Vermaat,Sam,  Sam,133,238.87, , , NED, NED, , , , , , , , , , ,
BergmanJoonas,Bergman,Joonas,  Joonas,134,238.83, ,20, FIN, Finland, , , , , , , , , , ,
KonijnenbergSebastien,Konijnenberg,Sebastien,  Sebastien,135,237.4, Rip Curl | Salomon | ,23, FRA, France, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , , , ,
GiblinParker,Giblin,Parker,  Parker,136,236.94, , , USA, United States, , , , , , , , , , ,
MekincNaj,Mekinc,Naj,  Naj,137,236.93, , , SLO, SLO, , , , , , , , , , ,
MillerNicholas,Miller,Nicholas,  Nicholas,138,236.89, , , USA, United States, , , , , , , , , , ,
LuckerbauerDavid,Luckerbauer,David,  David,139,236.84, ,20, AUT, Austria, Goofy, , , , , , , , , ,
Van HoofIlias,Van Hoof,Ilias,  Ilias,140,236.59, ,21, BEL, Belgium, , , Kontich, , , , , , , ,
CockrellBilly,Cockrell,Billy,  Billy,141,235.28, ,21, GBR, United Kingdom, , , Sheffield, , , , , , , ,
De BuckSebbe,De Buck,Sebbe,  Sebbe,142,234.73, DC | Giro | Monster Energy | Union Bindings | ,25, BEL, Belgium, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , , , ,
NagasawaHayato,Nagasawa,Hayato,  Hayato,143,232.05, Fanatic | ,18, JPN, Japan, Regular, , , , , , , , , ,
GaugerWendelin,Gauger,Wendelin,  Wendelin,144,231.94, ,20, SUI, Switzerland, Regular,187, Schwyz, Mythepark, , , , , , ,
ValaxEnzo,Valax,Enzo,  Enzo,145,231.26, ,20, FRA, France, , , , , , , , , , ,
OgasawaraSenan,Ogasawara,Senan,  Senan,146,228.68, , , JPN, Japan, , , , , , , , , , ,
TsujiHinata,Tsuji,Hinata,  Hinata,147,227.8, , , JPN, Japan, , , , , , , , , , ,
MatherSamuel,Mather,Samuel,  Samuel,148,227.3, , , CAN, Canada, , , , , , , , , , ,
McDermottEli,McDermott,Eli,  Eli,149,226.97, , , USA, United States, , , , , , , , , , ,
WilliamsMax,Williams,Max,  Max,150,226.42, , , USA, United States, , , , , , , , , , ,
Klebe-MccullochDashiell,Klebe-Mcculloch,Dashiell,  Dashiell,151,224.69, , , CAN, Canada, , , , , , , , , , ,
LeeChaeun,Lee,Chaeun,  Chaeun,152,224.56, , , KOR, Korea, Republic of, , , , , , , , , , 
FujiyaRyoji,Fujiya,Ryoji,  Ryoji,153,222.39, , , JPN, Japan, , , , , , , , , , ,
SmithEthan,Smith,Ethan,  Ethan,154,221.54, Never Summer | ,17, GBR, United Kingdom, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , ,
NicholsonTyler,Nicholson,Tyler,  Tyler,155,221.54, Lib Technologies | Rockstar | Under Armour | ,25, CAN, Canada, Regular, , North Bay, , , , , , , ,
BollMoritz,Boll,Moritz,  Moritz,156,221.13,  | ,20, SUI, Switzerland, , , , , , , , , , ,
MachtansBen,Machtans,Ben,  Ben,157,220.9, , , CAN, Canada, , , , , , , , , , ,
KoenenFynn,Koenen,Fynn,  Fynn,158,219.77, , , GER, Germany, , , , , , , , , , ,
VaisanenEmppu,Vaisanen,Emppu,  Emppu,159,217.88, , , FIN, Finland, , , , , , , , , , ,
RovenskyJan,Rovensky,Jan,  Jan,160,217.5, , , CZE, Czech Republic, , , , , , , , , , ,
LenchevskiyYaroslav,Lenchevskiy,Yaroslav,  Yaroslav,161,216.08, , , RUS, Russian Federation, , , , , , , , , , ,
WegaCarter,Wega,Carter,  Carter,162,215.36, , , CAN, Canada, , , , , , , , , , ,
AtnoAlex,Atno,Alex,  Alex,163,214.6, , , USA, United States, , , , , , , , , , ,
MoonJaxson,Moon,Jaxson,  Jaxson,164,214.16, , , USA, United States, , , , , , , , , , ,
LarochaixNoe,Larochaix,Noe,  Noe,165,213.69, , , FRA, France, Regular, , , , , , , , , ,
BreuMoritz,Breu,Moritz,  Moritz,166,213.54, ,17, GER, Germany, Goofy, , , , , , , , , ,
KaufmannMoritz,Kaufmann,Moritz,  Moritz,167,213.31, ,20, AUT, Austria, , , , , , , , , , ,
FerryLucas,Ferry,Lucas,  Lucas,168,212.97, , , USA, United States, , , , , , , , , , ,
LotortoAlessandro Marco,Lotorto,Alessandro Marco,  Alessandro Marco,169,211.44, , , SUI, Switzerland, , , , , , , , , , ,
RiddellEvan,Riddell,Evan,  Evan,170,211.2, ,16, CAN, Canada, , , , , , , , , , ,
MilenkovicMatija,Milenkovic,Matija,  Matija,171,211.04, ,19, SRB, Serbia, , , , , , , , , , ,
ChomlackCaleb,Chomlack,Caleb,  Caleb,172,211.01, ,16, CAN, Canada, , , , , , , , , , ,
SanzhapovSerhii,Sanzhapov,Serhii,  Serhii,173,210.48, ,15, UKR, Ukraine, Regular, , Kiev, , , , , , , ,
MiskimanSean,Miskiman,Sean,  Sean,174,210.05, ,20, CAN, Canada, Regular, , Calgary, , , , , , , ,
ChristenssonConner,Christensson,Conner,  Conner,175,208.85, ,18, CAN, Canada, , , , , , , , , , ,
VallieresTyler,Vallieres,Tyler,  Tyler,176,208.6, , , USA, United States, , , , , , , , , , ,
PuenterNick,Puenter,Nick,  Nick,177,208.59, Head | TSG | Zimtstern | ,18, SUI, Switzerland, Goofy, , Staefa, , , , , , , ,
LundstroemGustaf,Lundstroem,Gustaf,  Gustaf,178,208.53, Capita | Deeluxe | Sessions | Union Bindings | ,22, SWE, Sweden, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , , , ,
StrohmeyerTill,Strohmeyer,Till,  Till,179,203.74, ,18, AUT, Austria, , , Kiefersfelden, , , , , , , ,
KrauskopfTosh,Krauskopf,Tosh,  Tosh,180,203.33, ,15, CAN, Canada, , , , , , , , , , ,
SmelovAleksandr,Smelov,Aleksandr,  Aleksandr,181,203.11,  | ,24, RUS, Russian Federation, Regular,176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , , , ,
MorettiSacha,Moretti,Sacha,  Sacha,182,203.04, igwis | Quiksilver | Waxx | ,22, FRA, France, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , , , ,
Mork DanielsenSander,Mork Danielsen,Sander,  Sander,183,202.75, , , NOR, Norway, , , , , , , , , , ,
AragonJose Antonio,Aragon,Jose Antonio,  Jose Antonio,184,202.39, , , ESP, Spain, , , , , , , , , , ,
BlakeWyatt,Blake,Wyatt,  Wyatt,185,202.01, , , USA, United States, , , , , , , , , , ,
KudoYamato,Kudo,Yamato,  Yamato,186,200.95, , , JPN, Japan, , , , , , , , , , ,
TongkoAdrian Lee,Tongko,Adrian Lee,  Adrian Lee,187,200.07, Salomon | ,23, PHI, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , , , ,
MiyamuraYuto,Miyamura,Yuto,  Yuto,188,199.89, , , JPN, Japan, , , , , , , , , , ,
FuserElia Manuel,Fuser,Elia Manuel,  Elia Manuel,189,199.64, , , ITA, Italy, , , , , , , , , , ,
KalloSami,Kallo,Sami,  Sami,190,199.23, , , FIN, Finland, , , , , , , , , , ,
TeixeiraAugustinho,Teixeira,Augustinho,  Augustinho,191,198.57, , , BRA, Brazil, , , , , , , , , , ,
KakuShusei,Kaku,Shusei,  Shusei,192,198.25, , , JPN, Japan, , , , , , , , , , ,
GrayNathan,Gray,Nathan,  Nathan,193,196.45, ,19, FRA, France, , , St Martin De Belleville, , , , , , , ,
MaffeiAlberto,Maffei,Alberto,  Alberto,194,195.8,  | ,25, ITA, Italy, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , , , ,
SuzukiAtsuhiro,Suzuki,Atsuhiro,  Atsuhiro,195,195.47, , , JPN, Japan, , , , , , , , , , ,
